release_id,status_month,official_release_date,tightened_considerably_pct,tightened_somewhat_pct,unchanged_pct,eased_somewhat_pct,eased_considerably_pct,total_banks,response_sum_pct,net_tightening_pct_points,prior_net_tightening_pct_points,impulse_pct_points,state,release_html_bytes,release_html_sha256,table_html_bytes,table_html_sha256
202201,January 2022,2022-01-31,0.0,1.4,82.6,15.9,0.0,69,99.9,-14.5,,,ANCHOR_ONLY,96564,738C45EB417AD72A7C42BA9E3019F4FF01F10B18F34A801EF038E1D964AA30E2,698883,196AFBDFD142884CA836884833CE088ADBCDB7FFAA765AD672E5055DC464255F
202204,April 2022,2022-05-09,0.0,6.1,86.4,7.6,0.0,66,100.1,-1.5,-14.5,13.0,TIGHTENING_IMPULSE,94635,0328B60B6E4C58636F91D47724B3B8BADD810F58523E5A3D702EA3B9AE307812,667096,C3265597504F12B50043488133E5528277F566A15AD03AD01FDDA7E1935BA0C1
202207,July 2022,2022-08-01,0.0,25.8,72.7,1.5,0.0,66,100.0,24.3,-1.5,25.8,TIGHTENING_IMPULSE,97842,C8C9919B6005C4DE1ACF30E1DA3927DA79D8EF84D7483354076D4A408C81B806,637087,199F5DB8C85DE43AFA73D9E8CA47DC0F64EABFEB51656A5D9F924CA3F866E346
202210,October 2022,2022-11-07,2.9,37.7,58.0,1.4,0.0,69,100.0,39.2,24.3,14.9,TIGHTENING_IMPULSE,97954,A710809EB836D7DE55E4FF8F6418F13BF472FEA4516B05EF5096BCF1D3812599,531875,1E239B675A9650DEAC12DBF99588E491A581EA3BB8091940B0847E5F2C4DA75D
202301,January 2023,2023-02-06,1.5,43.3,55.2,0.0,0.0,67,100.0,44.8,39.2,5.6,TIGHTENING_IMPULSE,96795,EBB67A4D4C3ACFB7C3364FB2F8951087BAE42B2E62EC31E09E47AEF1F78E1267,685122,959017828B864986D47E6BF2A5C503C1D3CF09E0F10742D2F7F72C9D7B6452A8
202304,April 2023,2023-05-08,3.2,42.9,54.0,0.0,0.0,63,100.1,46.1,44.8,1.3,TIGHTENING_IMPULSE,100996,1E57B67C2D121F2C852A838CC98C552323A3F1C03C650470E6492937218EEB93,711173,E0BA98A7169BA5BB3560C33D9B011D3E2EFFE4F385F143746E5FA2A9E630C47A
202307,July 2023,2023-07-31,4.8,46.0,49.2,0.0,0.0,63,100.0,50.8,46.1,4.7,TIGHTENING_IMPULSE,98788,2ABD273F2AEC9876CAD886C96880840BA5462F7844E8D0FA2E5A5811279AFBD0,638049,E62021402E34DD3939F5160B5A3697BCDF4BBC704DD80128313D46CDA51F58AF
202310,October 2023,2023-11-06,3.4,32.2,62.7,1.7,0.0,59,100.0,33.9,50.8,-16.9,NON_TIGHTENING_IMPULSE,96362,CA636DB285925905DA136CD172EDFC6A953B0824BB3A6C0A93A755D452D1277D,565571,800FA726F8C4791EB475F0B2504012ADC5650D82DA29A54466B1E4B9B9FC9706
202401,January 2024,2024-02-05,1.6,12.9,85.5,0.0,0.0,62,100.0,14.5,33.9,-19.4,NON_TIGHTENING_IMPULSE,99924,972B13F763902D88EF7F39C86C3720266F1F276A91F3C09132FC14CADE741A4D,753699,639A3A51A749ADF332ED5A407009F59363B3D748837FFF473D22608D5D76ED7A
202404,April 2024,2024-05-06,3.1,15.6,78.1,3.1,0.0,64,99.9,15.6,14.5,1.1,TIGHTENING_IMPULSE,97959,BC65FC1F63164384586B78842EA98FC1ED71F1E5A39DDC9A418C3818200AF855,709221,B641212F7FCB0ECE2578289EC03DEB54BDEE0C5359BC430633038E40DDD89599
