"lifecycle_id","period","component","component_id","book","birth_event","birth_server_time","birth_source_path","birth_source_row","final_event","final_server_time","final_source_path","final_source_row","deal_reason","planned_risk","stressed_net","stressed_r","stop","sloos_release_id","sloos_release_date","sloos_net_tightening_pct_points","sloos_impulse_pct_points","state","release_to_birth_lag_days","centered_stressed_r","centered_stop"
"L0013","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-08T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","87","EXTERNAL_CLOSE","2022-08-08T19:17:31","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","89","DEAL_REASON_SL","4.1601","-2.095","-0.5035936636138555","1","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","7","-0.5131729962414381","0.9928825622775801"
"L0014","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-09T14:30:03","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","96","CLOSE","2022-08-09T16:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","102","DEAL_REASON_EXPERT","4.0763","-0.075","-0.018399038343595908","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","8","-0.024498388661828456","-0.009523809523809525"
"L0015","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-09T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","106","CLOSE","2022-08-09T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","108","DEAL_REASON_EXPERT","4.0668","-0.265","-0.06516179797383694","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","8","-0.07474113060141949","-0.0071174377224199285"
"L0016","P1_2022H2_2023","Return","ZT-H1-US30-RETURN-I-c870a788ec","US30_BOOK","OPEN","2022-08-09T16:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","100","CLOSE","2022-08-09T22:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","109","DEAL_REASON_EXPERT","4.0763","-0.6509999999999855","-0.15970365282240892","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","8","-0.22937222051840106","-0.09615384615384616"
"L0017","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-10T15:45:48","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","122","CLOSE","2022-08-10T18:45:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","128","DEAL_REASON_EXPERT","4.0367","-0.245","-0.06069314043649516","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","9","-0.0667924907547277","-0.009523809523809525"
"L0018","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-10T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","126","CLOSE","2022-08-10T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","129","DEAL_REASON_EXPERT","4.0367","-0.5650000000000001","-0.13996581365967253","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","9","-0.14954514628725507","-0.0071174377224199285"
"L0019","P1_2022H2_2023","RC4","ZT-M30-US30-RANGE-COMP-64efb16616","US30_BOOK","OPEN","2022-08-12T13:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","135","CLOSE","2022-08-12T19:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","143","DEAL_REASON_EXPERT","4.0043","0.3290000000000145","0.08216167619809069","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","11","-0.02863493075259138","-0.13725490196078433"
"L0020","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-12T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","140","CLOSE","2022-08-12T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","144","DEAL_REASON_EXPERT","4.0043","0.765","0.19104462702594713","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","11","0.1814652943983646","-0.0071174377224199285"
"L0021","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-15T12:34:25","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","151","CLOSE","2022-08-15T13:15:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","152","DEAL_REASON_EXPERT","4.048","0.185","0.045701581027667984","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","14","0.039602230709435436","-0.009523809523809525"
"L0022","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-15T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","167","CLOSE","2022-08-15T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","169","DEAL_REASON_EXPERT","4.0554","0.39499999999999996","0.09740099620259407","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","14","0.08782166357501152","-0.0071174377224199285"
"L0023","P1_2022H2_2023","Return","ZT-H1-US30-RETURN-I-c870a788ec","US30_BOOK","OPEN","2022-08-15T16:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","162","CLOSE","2022-08-15T22:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","170","DEAL_REASON_EXPERT","4.0554","4.019000000000014","0.9910243132613342","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","14","0.921355745565342","-0.09615384615384616"
"L0024","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-16T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","180","CLOSE","2022-08-16T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","182","DEAL_REASON_EXPERT","4.232","-0.905","-0.2138468809073724","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","15","-0.22342621353495493","-0.0071174377224199285"
"L0025","P1_2022H2_2023","Return","ZT-H1-US30-RETURN-I-c870a788ec","US30_BOOK","OPEN","2022-08-16T16:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","175","CLOSE","2022-08-16T22:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","183","DEAL_REASON_EXPERT","4.232","2.7290000000000147","0.644848771266544","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","15","0.5751802035705519","-0.09615384615384616"
"L0026","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-17T12:18:20","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","190","CLOSE","2022-08-17T16:15:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","201","DEAL_REASON_EXPERT","4.305","-0.655","-0.15214866434378632","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","16","-0.15824801466201888","-0.009523809523809525"
"L0027","P1_2022H2_2023","Pressure","ZT-M30-US30-INTRADAY-R-2eb111fc46","US30_BOOK","OPEN","2022-08-17T15:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","194","CLOSE","2022-08-17T19:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","205","DEAL_REASON_EXPERT","4.2984","0.7890000000000146","0.18355667225014297","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","16","0.15320494769393037","-0.058823529411764705"
"L0028","P1_2022H2_2023","Return","ZT-H1-US30-RETURN-I-c870a788ec","US30_BOOK","OPEN","2022-08-17T16:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","199","CLOSE","2022-08-17T22:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","206","DEAL_REASON_EXPERT","4.3048","1.3190000000000146","0.3064021557331385","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","16","0.2367335880371464","-0.09615384615384616"
"L0029","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-18T12:48:18","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","213","CLOSE","2022-08-18T15:45:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","214","DEAL_REASON_EXPERT","4.3631","-0.075","-0.01718961288991772","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","17","-0.023288963208150267","-0.009523809523809525"
"L0030","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-18T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","218","CLOSE","2022-08-18T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","220","DEAL_REASON_EXPERT","4.3601","-0.935","-0.21444462282975163","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","17","-0.22402395545733417","-0.0071174377224199285"
"L0031","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-19T12:58:22","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","227","CLOSE","2022-08-19T14:45:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","228","DEAL_REASON_EXPERT","4.3227","-0.175","-0.04048395678626784","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","18","-0.046583307104500385","-0.009523809523809525"
"L0032","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-19T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","232","CLOSE","2022-08-19T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","234","DEAL_REASON_EXPERT","4.3157","0.315","0.07298931807122831","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","18","0.06340998544364576","-0.0071174377224199285"
"L0033","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-22T12:30:54","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","241","CLOSE","2022-08-22T14:15:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","242","DEAL_REASON_EXPERT","4.3283","0.14500000000000002","0.03350045052330015","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","21","0.0274011002050676","-0.009523809523809525"
"L0034","P1_2022H2_2023","Return","ZT-H1-US30-RETURN-I-c870a788ec","US30_BOOK","OPEN","2022-08-22T16:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","246","EXTERNAL_CLOSE","2022-08-22T20:24:17","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","253","DEAL_REASON_SL","4.3341","-2.190999999999985","-0.5055259454096548","1","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","21","-0.575194513105647","0.9038461538461539"
"L0035","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-22T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","251","CLOSE","2022-08-22T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","254","DEAL_REASON_EXPERT","4.3328","1.0050000000000001","0.23195162481536194","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","21","0.2223722921877794","-0.0071174377224199285"
"L0036","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-23T12:15:26","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","261","CLOSE","2022-08-23T13:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","262","DEAL_REASON_EXPERT","4.2866","0.285","0.06648625950636868","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","22","0.06038690918813613","-0.009523809523809525"
"L0037","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-23T16:01:11","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","273","CLOSE","2022-08-23T16:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","274","DEAL_REASON_EXPERT","4.298","0.015","0.003489995346672871","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","22","-0.0026093549715596777","-0.009523809523809525"
"L0038","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-23T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","278","CLOSE","2022-08-23T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","280","DEAL_REASON_EXPERT","4.2986","-0.3180000000000109","-0.07397757409389356","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","22","-0.08355690672147612","-0.0071174377224199285"
"L0039","P1_2022H2_2023","Return","ZT-H1-US30-RETURN-I-c870a788ec","US30_BOOK","OPEN","2022-08-23T16:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","271","CLOSE","2022-08-23T22:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","281","DEAL_REASON_EXPERT","4.298","-1.2509999999999855","-0.29106561191251407","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","22","-0.3607341796085062","-0.09615384615384616"
"L0040","P1_2022H2_2023","RC16","ZT-M30-US30-RANGE-COMP-61f61deaba","US30_BOOK","OPEN","2022-08-24T13:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","286","CLOSE","2022-08-24T17:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","293","DEAL_REASON_EXPERT","4.2359","0.37900000000001455","0.0894733114568367","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","23","0.008162217022964366","-0.02666666666666667"
"L0041","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-24T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","291","CLOSE","2022-08-24T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","294","DEAL_REASON_EXPERT","4.2359","0.325","0.07672513515427655","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","23","0.067145802526694","-0.0071174377224199285"
"L0042","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-25T14:02:21","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","307","CLOSE","2022-08-25T14:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","308","DEAL_REASON_EXPERT","4.264","0.22499999999999998","0.05276735459662288","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","24","0.04666800427839033","-0.009523809523809525"
"L0043","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-25T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","317","CLOSE","2022-08-25T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","319","DEAL_REASON_EXPERT","4.273","0.33499999999999996","0.07839925111163117","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","24","0.06881991848404861","-0.0071174377224199285"
"L0044","P1_2022H2_2023","Return","ZT-H1-US30-RETURN-I-c870a788ec","US30_BOOK","OPEN","2022-08-25T16:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","312","CLOSE","2022-08-25T22:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","320","DEAL_REASON_EXPERT","4.273","0.6790000000000145","0.15890475076059316","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","24","0.08923618306460103","-0.09615384615384616"
"L0045","P1_2022H2_2023","RC4","ZT-M30-US30-RANGE-COMP-64efb16616","US30_BOOK","OPEN","2022-08-26T13:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","325","EXTERNAL_CLOSE","2022-08-26T16:07:03","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","333","DEAL_REASON_SL","4.3136","-2.1809999999999854","-0.5056101632047444","1","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","25","-0.6164067701554264","0.8627450980392157"
"L0046","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-26T16:00:43","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","332","CLOSE","2022-08-26T17:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","339","DEAL_REASON_EXPERT","4.2928","1.695","0.3948471859858368","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","25","0.38874783566760424","-0.009523809523809525"
"L0047","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-26T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","337","CLOSE","2022-08-26T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","340","DEAL_REASON_EXPERT","4.2264","3.8320000000000074","0.9066818095778931","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","25","0.8971024769503105","-0.0071174377224199285"
