"lifecycle_id","period","component","component_id","book","birth_event","birth_server_time","birth_source_path","birth_source_row","final_event","final_server_time","final_source_path","final_source_row","deal_reason","planned_risk","stressed_net","stressed_r","stop","sloos_release_id","sloos_release_date","sloos_net_tightening_pct_points","sloos_impulse_pct_points","state","release_to_birth_lag_days","centered_stressed_r","centered_stop"
"L0003","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-02T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","20","CLOSE","2022-08-02T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","22","DEAL_REASON_EXPERT","4.0258","0.175","0.043469620944905356","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","1","0.033890288317322805","-0.0071174377224199285"
"L0004","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-03T14:05:16","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","34","CLOSE","2022-08-03T15:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","35","DEAL_REASON_EXPERT","4.0328","-0.185","-0.04587383455663559","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","2","-0.051973184874868135","-0.009523809523809525"
"L0005","P1_2022H2_2023","RC16","ZT-M30-US30-RANGE-COMP-61f61deaba","US30_BOOK","OPEN","2022-08-03T13:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","32","CLOSE","2022-08-03T17:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","41","DEAL_REASON_EXPERT","4.0328","0.8390000000000145","0.20804403888117798","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","2","0.12673294444730565","-0.02666666666666667"
"L0006","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-03T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","39","CLOSE","2022-08-03T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","42","DEAL_REASON_EXPERT","4.0254","1.4520000000000073","0.3607094947086022","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","2","0.35113016208101966","-0.0071174377224199285"
"L0007","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-04T13:01:44","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","49","CLOSE","2022-08-04T15:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","55","DEAL_REASON_EXPERT","4.117","0.035","0.008501335924216664","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","3","0.002401985605984115","-0.009523809523809525"
"L0008","P1_2022H2_2023","RC16","ZT-M30-US30-RANGE-COMP-61f61deaba","US30_BOOK","OPEN","2022-08-04T13:30:01","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","53","CLOSE","2022-08-04T17:30:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","61","DEAL_REASON_EXPERT","4.1076","-1.6809999999999856","-0.409241406173918","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","3","-0.4905525006077903","-0.02666666666666667"
"L0009","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-04T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","59","CLOSE","2022-08-04T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","62","DEAL_REASON_EXPERT","4.0748","-0.105","-0.025768135859428686","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","3","-0.03534746848701124","-0.0071174377224199285"
"L0010","P1_2022H2_2023","Passive","ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8","US100_BOOK","PASSIVE_FILL","2022-08-05T15:45:06","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","69","CLOSE","2022-08-05T17:15:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","80","DEAL_REASON_EXPERT","4.047","0.945","0.2335063009636768","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","4","0.22740695064544425","-0.009523809523809525"
"L0011","P1_2022H2_2023","Cross","ZT-H1-US100-CROSS-IN-14b72317b7","US100_BOOK","OPEN","2022-08-05T17:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","78","CLOSE","2022-08-05T21:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","81","DEAL_REASON_EXPERT","4.047","-0.125","-0.0308870768470472","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","4","-0.04046640947462975","-0.0071174377224199285"
"L0012","P1_2022H2_2023","Return","ZT-H1-US30-RETURN-I-c870a788ec","US30_BOOK","OPEN","2022-08-05T16:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","73","CLOSE","2022-08-05T22:00:00","lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv","82","DEAL_REASON_EXPERT","4.0348","2.0090000000000146","0.49791811242193285","0","202207","2022-08-01","24.3","25.8","TIGHTENING_IMPULSE","4","0.42824954472594073","-0.09615384615384616"
