component_id,symbol,position_identifier,entry_time_server,exit_time_server,exit_reason,observed_entry_volume,anchor_multiplier,normalized_anchor_volume,volume_scale,planned_risk_usd,trough_mark_r,observed_actual_net_usd,observed_stressed_net_usd,anchor_proxy_actual_net_usd,anchor_proxy_stressed_net_usd,actual_delta_usd,stressed_delta_usd
ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8,US100,247479731,2026.08.27 12:21:37,2026.08.27 13:30:01,DEAL_REASON_EXPERT,0.01,0.0,0.00,0.0,3.9760400000000087,-0.10060260963169364,0.12,0.109,0.00,0.000,-0.12,-0.109
ZT-H1-US100-CROSS-IN-14b72317b7,US100,247571424,2026.08.27 17:00:00,2026.08.27 21:00:00,DEAL_REASON_EXPERT,0.01,2.0,0.02,2.0,3.9804000000000075,-0.48738820219073364,-1.32,-1.354,-2.64,-2.708,-1.32,-1.354
ZT-H1-US30-RETURN-I-c870a788ec,US30,247538844,2026.08.27 16:00:00,2026.08.27 22:00:00,DEAL_REASON_EXPERT,0.01,1.5,0.02,2.0,3.9804000000000075,-0.0628077580142698,1.86,1.838,3.72,3.676,1.86,1.838
TOTAL,,,,,,,,,,,,0.66,0.593,1.08,0.968,0.42,0.375
