role,decision_epoch,decision_time,exit_epoch,exit_time,symbol,direction,selected_probability,flat_probability,opposite_probability,atr,volume,planned_stop_loss_usd,entry_price,stop_price,take_price,exit_price,exit_reason,hold_common_h1_bars,actual_pnl,stressed_pnl,actual_balance_after,stressed_balance_after
PROB55_MARGIN10,1733151600,2024-12-02T15:00:00,1733155200,2024-12-02T16:00:00,US30,LONG,0.5531777739524841,0.2079990655183792,0.23882313072681427,58.38125000000006,0.03,1.7514375000000018,44947.41,44889.028750000005,45034.981875000005,44889.028750000005,STOP,2,-1.7514374999999562,-1.7934374999999563,98.24856250000005,98.20656250000005
PROB55_MARGIN10,1733158800,2024-12-02T17:00:00,1733169600,2024-12-02T20:00:00,US30,LONG,0.580316960811615,0.18803314864635468,0.2316499501466751,67.53750000000007,0.02,1.3507500000000012,44807.16,44739.622500000005,44908.466250000005,44860.26,TIME,4,1.061999999999971,1.0489999999999708,99.31056250000002,99.25556250000001
PROB55_MARGIN10,1733760000,2024-12-09T16:00:00,1733763600,2024-12-09T17:00:00,US500,LONG,0.5529795289039612,0.21386826038360596,0.23315222561359406,7.355000000000056,0.27,1.9858500000000154,6089.299999999999,6081.944999999999,6100.3324999999995,6081.944999999999,STOP,2,-1.9858500000001278,-2.093850000000128,97.32471249999989,97.16171249999988
PROB55_MARGIN10,1733767200,2024-12-09T18:00:00,1733767200,2024-12-09T18:00:00,US500,LONG,0.5541946291923523,0.20615482330322266,0.23965056240558624,6.907916666666703,0.28,1.9342166666666771,6065.599999999999,6058.692083333332,6075.961874999999,6058.692083333332,STOP,1,-1.934216666666762,-2.046216666666762,95.39049583333313,95.11549583333311
