raw_date,session,representation,anchor_raw_epoch,causal_prefix_complete,causal_prefix_and_entry_minute_complete,complete_through_hold_end,original_full_future_complete
2024-01-19,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1705681800,1,1,1,1
2024-01-22,LONDON_0800,ORIGINAL_DIRECT_UTC,1705910400,1,1,1,1
2024-01-22,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1705917600,1,1,1,1
2024-01-22,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1705933800,1,1,1,1
2024-01-22,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1705941000,1,1,1,1
2024-01-23,LONDON_0800,ORIGINAL_DIRECT_UTC,1705996800,1,1,1,1
2024-01-23,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706004000,1,1,1,1
2024-01-23,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706020200,1,1,1,1
2024-01-23,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706027400,1,1,1,1
2024-01-24,LONDON_0800,ORIGINAL_DIRECT_UTC,1706083200,1,1,1,1
2024-01-24,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706090400,1,1,1,1
2024-01-24,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706106600,1,1,1,1
2024-01-24,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706113800,1,1,1,1
2024-01-25,LONDON_0800,ORIGINAL_DIRECT_UTC,1706169600,1,1,1,1
2024-01-25,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706176800,1,1,1,1
2024-01-25,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706193000,1,1,1,1
2024-01-25,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706200200,1,1,1,1
2024-01-26,LONDON_0800,ORIGINAL_DIRECT_UTC,1706256000,1,1,1,1
2024-01-26,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706263200,1,1,1,1
2024-01-26,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706279400,1,1,1,1
2024-01-26,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706286600,1,1,1,1
2024-01-29,LONDON_0800,ORIGINAL_DIRECT_UTC,1706515200,1,1,1,1
2024-01-29,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706522400,1,1,1,1
2024-01-29,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706538600,1,1,1,1
2024-01-29,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706545800,1,1,1,1
2024-01-30,LONDON_0800,ORIGINAL_DIRECT_UTC,1706601600,1,1,1,1
2024-01-30,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706608800,1,1,1,1
2024-01-30,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706625000,1,1,1,1
2024-01-30,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706632200,1,1,1,1
2024-01-31,LONDON_0800,ORIGINAL_DIRECT_UTC,1706688000,1,1,1,1
2024-01-31,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706695200,1,1,1,1
2024-01-31,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706711400,1,1,1,1
2024-01-31,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706718600,1,1,1,1
2024-02-01,LONDON_0800,ORIGINAL_DIRECT_UTC,1706774400,1,1,1,1
2024-02-01,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706781600,1,1,1,1
2024-02-01,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706797800,1,1,1,1
2024-02-01,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706805000,1,1,1,1
2024-02-02,LONDON_0800,ORIGINAL_DIRECT_UTC,1706860800,1,1,1,1
2024-02-02,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1706868000,1,1,1,1
2024-02-02,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1706884200,1,1,1,1
2024-02-02,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1706891400,1,1,1,1
2024-02-05,LONDON_0800,ORIGINAL_DIRECT_UTC,1707120000,0,0,0,0
2024-02-05,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707127200,1,1,1,1
2024-02-05,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1707143400,1,1,1,1
2024-02-05,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1707150600,1,1,1,1
2024-02-06,LONDON_0800,ORIGINAL_DIRECT_UTC,1707206400,1,1,0,0
2024-02-06,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707213600,1,1,1,1
2024-02-06,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1707229800,1,1,1,1
2024-02-06,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1707237000,1,1,1,1
2024-02-07,LONDON_0800,ORIGINAL_DIRECT_UTC,1707292800,0,0,0,0
2024-02-07,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707300000,1,1,1,1
2024-02-07,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1707316200,1,1,1,1
2024-02-07,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1707323400,1,1,1,1
2024-02-08,LONDON_0800,ORIGINAL_DIRECT_UTC,1707379200,0,0,0,0
2024-02-08,LONDON_0800,NY_CLOSE_BROKER_CONVENTION,1707386400,1,1,1,1
2024-02-08,NEW_YORK_0930,ORIGINAL_DIRECT_UTC,1707402600,1,1,1,1
2024-02-08,NEW_YORK_0930,NY_CLOSE_BROKER_CONVENTION,1707409800,1,1,1,1
