server_time,component_id,gain_volume,selected_volume,neutral_volume,aggregate_before_usd,reserve_usd,steps_removed
2026.03.03 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.25,0.24,0.22,0.0000,45.3196,1
2026.03.06 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.09,0.08,0.08,139.7791,44.4752,1
2026.03.09 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.29,0.28,0.26,0.0000,47.0722,1
2026.03.13 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.29,0.28,0.26,0.0000,48.1783,1
2026.03.16 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.25,0.24,0.22,0.0000,45.0208,1
2026.03.23 15:00:20,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.25,0.24,0.22,0.0000,45.2818,1
2026.03.26 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.29,0.28,0.26,0.0000,46.2544,1
2026.05.06 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.36,0.35,0.32,0.0000,60.3120,1
2026.05.15 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.36,0.35,0.32,0.0000,61.2164,1
