time_epoch,time_server,open,high,low,close,tick_volume,spread,real_volume
1656896400,2022.07.04 01:00:00,135.232,135.31,135.119,135.133,4740,11,0
1656900000,2022.07.04 02:00:00,135.132,135.25,134.988,134.997,8811,11,0
1656903600,2022.07.04 03:00:00,134.997,135.103,134.863,134.913,12651,11,0
1656907200,2022.07.04 04:00:00,134.913,135.132,134.777,135.018,13720,11,0
1656910800,2022.07.04 05:00:00,135.018,135.065,134.921,135.006,10083,11,0
1656914400,2022.07.04 06:00:00,135.006,135.174,135.001,135.167,6191,11,0
1656918000,2022.07.04 07:00:00,135.167,135.167,135.058,135.113,3867,11,0
1656921600,2022.07.04 08:00:00,135.114,135.345,135.107,135.303,6049,11,0
1656925200,2022.07.04 09:00:00,135.303,135.516,135.259,135.415,9549,11,0
1656928800,2022.07.04 10:00:00,135.415,135.481,135.321,135.438,6449,11,0
1656932400,2022.07.04 11:00:00,135.438,135.449,135.241,135.326,6624,11,0
1656936000,2022.07.04 12:00:00,135.326,135.542,135.318,135.452,5711,11,0
1656939600,2022.07.04 13:00:00,135.452,135.456,135.335,135.384,3255,11,0
1656943200,2022.07.04 14:00:00,135.384,135.419,135.253,135.319,4359,11,0
1656946800,2022.07.04 15:00:00,135.318,135.448,135.284,135.4,4006,11,0
1656950400,2022.07.04 16:00:00,135.4,135.536,135.388,135.518,4015,11,0
1656954000,2022.07.04 17:00:00,135.518,135.743,135.463,135.727,4887,11,0
1656957600,2022.07.04 18:00:00,135.727,135.769,135.655,135.677,3505,11,0
1656961200,2022.07.04 19:00:00,135.677,135.714,135.663,135.696,1493,11,0
1656964800,2022.07.04 20:00:00,135.696,135.707,135.674,135.699,863,11,0
1656968400,2022.07.04 21:00:00,135.699,135.712,135.674,135.7,1663,11,0
1656972000,2022.07.04 22:00:00,135.7,135.722,135.659,135.686,881,11,0
1656975600,2022.07.04 23:00:00,135.686,135.716,135.444,135.504,1224,11,0
1656979200,2022.07.05 00:00:00,135.504,135.711,135.411,135.711,8986,18,0
1656982800,2022.07.05 01:00:00,135.711,135.832,135.673,135.709,3838,11,0
1656986400,2022.07.05 02:00:00,135.709,135.968,135.708,135.861,4327,11,0
1656990000,2022.07.05 03:00:00,135.861,136.144,135.784,136.043,12467,11,0
1656993600,2022.07.05 04:00:00,136.043,136.357,135.972,136.328,13816,11,0
1656997200,2022.07.05 05:00:00,136.328,136.338,136.122,136.165,7817,11,0
1657000800,2022.07.05 06:00:00,136.165,136.261,136.071,136.122,5576,11,0
1657004400,2022.07.05 07:00:00,136.122,136.3,136.11,136.241,6721,11,0
1657008000,2022.07.05 08:00:00,136.24,136.321,136.212,136.237,5694,11,0
1657011600,2022.07.05 09:00:00,136.237,136.263,136.086,136.236,6332,11,0
1657015200,2022.07.05 10:00:00,136.236,136.291,136.003,136.08,13078,11,0
1657018800,2022.07.05 11:00:00,136.08,136.101,135.549,135.838,17204,11,0
1657022400,2022.07.05 12:00:00,135.838,135.869,135.55,135.828,12348,11,0
1657026000,2022.07.05 13:00:00,135.828,135.986,135.801,135.985,8693,11,0
1657029600,2022.07.05 14:00:00,135.985,136.199,135.939,135.975,8676,11,0
1657033200,2022.07.05 15:00:00,135.975,136.057,135.664,135.842,21850,11,0
1657036800,2022.07.05 16:00:00,135.842,135.918,135.572,135.746,25789,11,0
1657040400,2022.07.05 17:00:00,135.746,136.104,135.726,136.023,19511,11,0
1657044000,2022.07.05 18:00:00,136.023,136.025,135.511,135.686,15526,11,0
1657047600,2022.07.05 19:00:00,135.686,135.859,135.686,135.738,9300,11,0
1657051200,2022.07.05 20:00:00,135.738,135.787,135.683,135.707,4341,11,0
1657054800,2022.07.05 21:00:00,135.707,135.745,135.618,135.643,5509,11,0
1657058400,2022.07.05 22:00:00,135.643,135.807,135.633,135.771,3765,11,0
1657062000,2022.07.05 23:00:00,135.771,135.914,135.719,135.724,3383,11,0
1657065600,2022.07.06 00:00:00,135.726,135.841,135.706,135.831,361,14,0
