"cash_date","rsp_open","rsp_close","spy_open","spy_close","relative_intraday_log_return","state"
"2022-06-24","134.85","138.07","381.40","390.08","0.0010946002157339145","BROAD_LEADS"
"2022-06-27","138.49","138.00","391.05","388.59","0.002766190139924501","BROAD_LEADS"
"2022-06-28","138.75","135.90","390.23","380.65","0.004101559661357751","BROAD_LEADS"
"2022-06-29","135.94","135.07","381.23","380.34","-0.0040831713407437145","MEGACAP_LEADS"
"2022-06-30","133.54","134.23","376.24","377.25","0.0024728280586561284","BROAD_LEADS"
"2022-07-01","133.98","135.87","376.56","381.24","0.0016563101795723425","BROAD_LEADS"
"2022-07-05","134.03","135.55","375.88","381.96","-0.004769027112868349","MEGACAP_LEADS"
"2022-07-06","135.52","135.58","382.11","383.25","-0.00253635138307039","MEGACAP_LEADS"
"2022-07-07","136.45","137.55","385.12","388.99","-0.0019694220961451094","MEGACAP_LEADS"
"2022-07-08","137.37","137.04","387.27","388.67","-0.0060136916694043425","MEGACAP_LEADS"
"2022-07-11","136.04","135.78","385.85","384.23","0.0022943300210072253","BROAD_LEADS"
"2022-07-12","135.25","135.13","383.65","380.83","0.0064899576203630545","BROAD_LEADS"
"2022-07-13","133.31","134.38","375.10","378.83","-0.0019005341873907268","MEGACAP_LEADS"
"2022-07-14","132.235","133.32","373.61","377.91","-0.0032719887566285254","MEGACAP_LEADS"
"2022-07-15","134.91","135.85","382.55","385.13","0.0002218704691428564","BROAD_LEADS"
"2022-07-18","136.96","135.26","388.38","381.95","0.004204471551466934","BROAD_LEADS"
"2022-07-19","136.68","139.14","386.08","392.27","0.0019324169214460021","BROAD_LEADS"
"2022-07-20","138.97","140.07","392.47","394.77","0.002040999502589929","BROAD_LEADS"
"2022-07-21","139.59","141.16","394.16","398.79","-0.0004936000295073864","MEGACAP_LEADS"
"2022-07-22","141.41","140.34","398.92","395.09","0.0020518859891736066","BROAD_LEADS"
"2022-07-25","140.60","140.69","395.75","395.57","0.001094845076613595","BROAD_LEADS"
"2022-07-26","140.25","139.59","393.84","390.89","0.002801555090400769","BROAD_LEADS"
"2022-07-27","140.33","142.30","394.36","401.04","-0.002856261915644885","MEGACAP_LEADS"
"2022-07-28","142.638","144.55","401.89","406.07","0.0029683771190803857","BROAD_LEADS"
"2022-07-29","144.53","145.84","407.58","411.99","-0.0017388128693776612","MEGACAP_LEADS"
"2022-08-01","145.11","145.56","409.15","410.77","-0.0008553129357782531","MEGACAP_LEADS"
"2022-08-02","145.02","144.53","409.12","408.06","-0.0007902763554219162","MEGACAP_LEADS"
"2022-08-03","145.28","146.03","410.30","414.45","-0.0049145753899977876","MEGACAP_LEADS"
"2022-08-04","145.85","145.72","414.37","414.17","-0.0004089472310724034","MEGACAP_LEADS"
"2022-08-05","144.42","145.88","409.66","413.47","0.0008012318487551056","BROAD_LEADS"
"2022-08-08","146.675","146.29","415.25","412.99","0.002829067078644272","BROAD_LEADS"
"2022-08-09","146.10","145.44","412.22","411.35","-0.0024149345272730296","MEGACAP_LEADS"
"2022-08-10","147.84","148.55","418.78","419.99","0.0019058149092597422","BROAD_LEADS"
"2022-08-11","149.59","149.21","422.99","419.99","0.004574127900702087","BROAD_LEADS"
"2022-08-12","149.89","151.62","422.03","427.10","-0.0004660774051398215","MEGACAP_LEADS"
"2022-08-15","150.72","151.95","424.765","428.86","-0.0014667419867377598","MEGACAP_LEADS"
"2022-08-16","151.51","152.39","427.73","429.70","0.0011962595453943433","BROAD_LEADS"
"2022-08-17","151.03","150.96","425.91","426.65","-0.002199540156956775","MEGACAP_LEADS"
"2022-08-18","151.05","151.44","426.86","427.89","0.000168536480367919","BROAD_LEADS"
"2022-08-19","150.41","149.44","424.98","422.14","0.0002351722345252721","BROAD_LEADS"
"2022-08-22","147.75","146.32","417.05","413.35","-0.0008142252146611378","MEGACAP_LEADS"
"2022-08-23","146.39","145.94","412.90","412.35","-0.0017457852331663158","MEGACAP_LEADS"
"2022-08-24","145.97","146.67","412.11","413.67","0.001005793599641044","BROAD_LEADS"
"2022-08-25","147.27","148.93","415.24","419.51","0.0009780629593428847","BROAD_LEADS"
"2022-08-26","149.10","144.13","419.39","405.31","0.0002475165102447524","BROAD_LEADS"
"2022-08-29","143.07","143.29","402.20","402.63","0.00046797901099614506","BROAD_LEADS"
"2022-08-30","143.73","141.78","403.85","398.21","0.00040403842872852556","BROAD_LEADS"
"2022-08-31","142.28","140.76","399.93","395.18","0.001207539861153793","BROAD_LEADS"
"2022-09-01","139.81","140.88","392.89","396.42","-0.001320474610017607","MEGACAP_LEADS"
"2022-09-02","142.34","139.86","400.28","392.24","0.002713765283873175","BROAD_LEADS"
"2022-09-06","140.30","139.47","393.13","390.76","0.00011332245222409661","BROAD_LEADS"
"2022-09-07","139.35","142.53","390.43","397.78","0.003913357152745413","BROAD_LEADS"
"2022-09-08","141.69","143.76","395.39","400.38","0.001962193327581272","BROAD_LEADS"
"2022-09-09","144.73","145.74","402.74","406.60","-0.0025844341513637887","MEGACAP_LEADS"
"2022-09-12","146.59","147.10","408.78","410.97","-0.0018700518123240042","MEGACAP_LEADS"
"2022-09-13","143.96","141.28","401.83","393.10","0.003173334822566775","BROAD_LEADS"
"2022-09-14","141.55","141.27","394.47","394.60","-0.002309560455913456","MEGACAP_LEADS"
"2022-09-15","140.86","140.15","392.96","390.12","0.002200229708441504","BROAD_LEADS"
"2022-09-16","138.61","138.75","384.14","385.56","-0.0026802350377794232","MEGACAP_LEADS"
"2022-09-19","136.86","139.15","382.26","388.55","0.0002731261487486508","BROAD_LEADS"
"2022-09-20","138.01","136.91","385.06","384.09","-0.005480104479291694","MEGACAP_LEADS"
"2022-09-21","137.64","134.64","386.11","377.39","0.0008061364158865256","BROAD_LEADS"
"2022-09-22","134.56","132.71","376.58","374.22","-0.007557251473284023","MEGACAP_LEADS"
"2022-09-23","131.38","130.48","370.58","367.95","0.0002483573300920581","BROAD_LEADS"
"2022-09-26","129.99","128.59","366.41","364.31","-0.005080704675322945","MEGACAP_LEADS"
"2022-09-27","129.86","128.18","368.02","363.38","-0.0003332551603262082","MEGACAP_LEADS"
"2022-09-28","128.95","131.16","364.38","370.53","0.00025608566860008466","BROAD_LEADS"
"2022-09-29","129.97","128.68","366.81","362.79","0.0010448961362432476","BROAD_LEADS"
"2022-09-30","128.57","127.28","361.80","357.18","0.0027675975012150383","BROAD_LEADS"
"2022-10-03","128.67","130.83","361.08","366.61","0.001448711035412692","BROAD_LEADS"
"2022-10-04","132.85","135.34","372.40","377.97","0.003723176610520849","BROAD_LEADS"
"2022-10-05","133.69","134.81","373.39","377.09","-0.0015177432227839148","MEGACAP_LEADS"
"2022-10-06","134.26","133.31","375.62","373.20","-0.0006374503054170748","MEGACAP_LEADS"
"2022-10-07","132.01","130.15","368.97","362.79","0.0027011396050413937","BROAD_LEADS"
"2022-10-10","130.61","129.27","363.96","360.02","0.0005718427323580019","BROAD_LEADS"
