role,decision_time,model_month,symbol,direction,prediction,absolute_prediction,threshold,atr24,stop_distance,volume,exit_reason,actual_pnl_usd,stressed_pnl_usd,extra_stress_cost_usd,actual_balance_before,actual_balance_after,stressed_balance_before,stressed_balance_after
BREADTH_Q80,2024-01-02 04:00:00,2024-01,US100,LONG,0.16146645292867598,0.16146645292867598,0.15996215375382983,29.527083333333092,44.290624999999636,0.04,H1_CLOSE,-0.3080000000000291,-0.36400000000002913,0.05600000000000001,100.0,99.69199999999996,100.0,99.63599999999997
BREADTH_Q80,2024-01-02 11:00:00,2024-01,US30,SHORT,-0.22200524493573534,0.22200524493573534,0.15996215375382983,45.84166666666746,68.76250000000118,0.02,H1_CLOSE,1.94,1.916,0.024,99.69199999999996,101.63199999999996,99.63599999999997,101.55199999999996
BREADTH_Q80,2024-01-02 12:00:00,2024-01,US500,SHORT,-0.24102219095751287,0.24102219095751287,0.15996215375382983,6.92500000000003,10.387500000000045,0.19,H1_CLOSE,0.41799999999996545,0.3229999999999654,0.095,101.63199999999996,102.04999999999993,101.55199999999996,101.87499999999993
BREADTH_Q80,2024-01-02 13:00:00,2024-01,US100,LONG,0.2570875571941103,0.2570875571941103,0.15996215375382983,32.12916666666615,48.19374999999923,0.04,STOP,-1.9277499999999692,-1.9277499999999692,0.0,102.04999999999993,100.12224999999995,101.87499999999993,99.94724999999995
BREADTH_Q80,2024-01-02 14:00:00,2024-01,US100,SHORT,-0.5388156537806126,0.5388156537806126,0.15996215375382983,37.07083333333291,55.60624999999936,0.03,H1_CLOSE,1.628999999999978,1.628999999999978,0.0,100.12224999999995,101.75124999999993,99.94724999999995,101.57624999999993
BREADTH_Q80,2024-01-02 15:00:00,2024-01,US30,SHORT,-0.17904706600896325,0.17904706600896325,0.15996215375382983,58.42916666666709,87.64375000000064,0.02,H1_CLOSE,-0.1980000000000291,-0.1980000000000291,0.0,101.75124999999993,101.55324999999989,101.57624999999993,101.3782499999999
BREADTH_Q80,2024-01-02 17:00:00,2024-01,US100,SHORT,-0.3628370665240758,0.3628370665240758,0.15996215375382983,44.43333333333309,66.64999999999964,0.03,H1_CLOSE,1.5689999999999782,1.5269999999999782,0.042,101.55324999999989,103.12224999999987,101.3782499999999,102.90524999999987
BREADTH_Q80,2024-01-02 18:00:00,2024-01,US500,LONG,0.2642483062560491,0.2642483062560491,0.15996215375382983,9.093750000000037,13.640625000000057,0.15,H1_CLOSE,2.3249999999999997,2.25,0.075,103.12224999999987,105.44724999999987,102.90524999999987,105.15524999999987
BREADTH_Q80,2024-01-02 21:00:00,2024-01,US500,SHORT,-0.18305023479937035,0.18305023479937035,0.15996215375382983,8.56666666666672,12.85000000000008,0.16,H1_CLOSE,1.9279999999998836,1.8479999999998835,0.08,105.44724999999987,107.37524999999975,105.15524999999987,107.00324999999975
BREADTH_Q80,2024-01-03 16:00:00,2024-01,US30,LONG,0.17510254348496765,0.17510254348496765,0.15996215375382983,52.570833333333816,78.85625000000073,0.02,STOP,-1.5771250000000145,-1.5771250000000145,0.0,107.37524999999975,105.79812499999974,107.00324999999975,105.42612499999974
BREADTH_Q80,2024-01-03 17:00:00,2024-01,US30,LONG,0.3677675654522316,0.3677675654522316,0.15996215375382983,55.204166666667334,82.806250000001,0.02,STOP,-1.65612500000002,-1.65612500000002,0.0,105.79812499999974,104.14199999999973,105.42612499999974,103.76999999999973
BREADTH_Q80,2024-01-03 18:00:00,2024-01,US500,LONG,0.3039195783414105,0.3039195783414105,0.15996215375382983,7.905000000000011,11.857500000000016,0.17,H1_CLOSE,-0.34,-0.42500000000000004,0.085,104.14199999999973,103.80199999999972,103.76999999999973,103.34499999999973
BREADTH_Q80,2024-01-03 20:00:00,2024-01,US100,SHORT,-0.3641998721265358,0.3641998721265358,0.15996215375382983,40.17916666666648,60.26874999999973,0.03,H1_CLOSE,0.4635000000000218,0.4635000000000218,0.0,103.80199999999972,104.26549999999975,103.34499999999973,103.80849999999975
BREADTH_Q80,2024-01-03 22:00:00,2024-01,US30,LONG,0.18094634927311962,0.18094634927311962,0.15996215375382983,57.508333333333816,86.26250000000073,0.02,STOP,-1.7252500000000146,-1.7252500000000146,0.0,104.26549999999975,102.54024999999973,103.80849999999975,102.08324999999974
BREADTH_Q80,2024-01-04 16:00:00,2024-01,US100,SHORT,-0.21924343834701057,0.21924343834701057,0.15996215375382983,39.98124999999997,59.971874999999955,0.03,H1_CLOSE,0.021000000000021828,0.021000000000021828,0.0,102.54024999999973,102.56124999999975,102.08324999999974,102.10424999999975
BREADTH_Q80,2024-01-04 17:00:00,2024-01,US500,SHORT,-0.17656240831833778,0.17656240831833778,0.15996215375382983,8.538750000000013,12.808125000000018,0.16,STOP,-2.049300000000003,-2.129300000000003,0.08,102.56124999999975,100.51194999999974,102.10424999999975,99.97494999999975
BREADTH_Q80,2024-01-04 18:00:00,2024-01,US500,LONG,0.3062982616049306,0.3062982616049306,0.15996215375382983,8.674166666666679,13.011250000000018,0.15,H1_CLOSE,-0.3299999999999727,-0.4049999999999727,0.075,100.51194999999974,100.18194999999977,99.97494999999975,99.56994999999978
BREADTH_Q80,2024-01-04 19:00:00,2024-01,US30,SHORT,-0.16611042667253262,0.16611042667253262,0.15996215375382983,58.487499999999876,87.73124999999982,0.02,H1_CLOSE,1.9400000000001456,1.9160000000001456,0.024,100.18194999999977,102.12194999999991,99.56994999999978,101.48594999999992
BREADTH_Q80,2024-01-04 20:00:00,2024-01,US500,SHORT,-0.24953765158248292,0.24953765158248292,0.15996215375382983,8.499166666666687,12.74875000000003,0.16,H1_CLOSE,-0.016000000000058207,-0.0960000000000582,0.08,102.12194999999991,102.10594999999985,101.48594999999992,101.38994999999986
BREADTH_Q80,2024-01-04 22:00:00,2024-01,US500,SHORT,-0.18130174218677847,0.18130174218677847,0.15996215375382983,8.245000000000042,12.367500000000064,0.16,H1_CLOSE,1.96,1.8800000000000001,0.08,102.10594999999985,104.06594999999984,101.38994999999986,103.26994999999985
BREADTH_Q80,2024-01-05 14:00:00,2024-01,US100,LONG,0.20375472488262417,0.20375472488262417,0.15996215375382983,37.23958333333341,55.859375000000114,0.03,H1_CLOSE,0.001499999999978172,-0.04050000000002183,0.042,104.06594999999984,104.06744999999982,103.26994999999985,103.22944999999983
BREADTH_Q80,2024-01-05 15:00:00,2024-01,US500,LONG,0.2510113576976041,0.2510113576976041,0.15996215375382983,7.80125000000002,11.70187500000003,0.17,STOP,-1.9893187500000051,-2.074318750000005,0.085,104.06744999999982,102.07813124999981,103.22944999999983,101.15513124999983
BREADTH_Q80,2024-01-05 17:00:00,2024-01,US30,LONG,0.24429716519356162,0.24429716519356162,0.15996215375382983,61.97500000000006,92.96250000000009,0.02,H1_CLOSE,1.62,1.62,0.0,102.07813124999981,103.69813124999982,101.15513124999983,102.77513124999983
BREADTH_Q80,2024-01-05 18:00:00,2024-01,US30,SHORT,-0.23042854569807497,0.23042854569807497,0.15996215375382983,64.47916666666667,96.71875,0.02,H1_CLOSE,2.221999999999971,2.221999999999971,0.0,103.69813124999982,105.92013124999978,102.77513124999983,104.9971312499998
BREADTH_Q80,2024-01-05 19:00:00,2024-01,US100,LONG,0.18703184803986866,0.18703184803986866,0.15996215375382983,41.09583333333338,61.64375000000007,0.03,STOP,-1.849312500000002,-1.849312500000002,0.0,105.92013124999978,104.07081874999979,104.9971312499998,103.1478187499998
BREADTH_Q80,2024-01-05 20:00:00,2024-01,US30,SHORT,-0.24082498629953245,0.24082498629953245,0.15996215375382983,66.83333333333333,100.25,0.02,STOP,-2.005,-2.029,0.024,104.07081874999979,102.06581874999979,103.1478187499998,101.1188187499998
BREADTH_Q80,2024-01-05 22:00:00,2024-01,US30,LONG,0.22501807231712873,0.22501807231712873,0.15996215375382983,73.4416666666669,110.16250000000036,0.01,H1_CLOSE,0.8160000000000582,0.8160000000000582,0.0,102.06581874999979,102.88181874999985,101.1188187499998,101.93481874999986
BREADTH_Q80,2024-01-08 12:00:00,2024-01,US30,LONG,0.2267030583350324,0.2267030583350324,0.15996215375382983,79.22916666666697,118.84375000000045,0.01,H1_CLOSE,-0.19,-0.201,0.011000000000000001,102.88181874999985,102.69181874999985,101.93481874999986,101.73381874999987
BREADTH_Q80,2024-01-08 15:00:00,2024-01,US100,LONG,0.20164412932604783,0.20164412932604783,0.15996215375382983,45.043750000000045,67.56562500000007,0.03,H1_CLOSE,-0.2505000000000109,-0.2925000000000109,0.042,102.69181874999985,102.44131874999984,101.73381874999987,101.44131874999987
BREADTH_Q80,2024-01-08 16:00:00,2024-01,US100,LONG,0.17065266191255637,0.17065266191255637,0.15996215375382983,45.26458333333343,67.89687500000014,0.03,H1_CLOSE,4.411499999999978,4.411499999999978,0.0,102.44131874999984,106.85281874999981,101.44131874999987,105.85281874999984
BREADTH_Q80,2024-01-08 22:00:00,2024-01,US100,LONG,0.2108643411431528,0.2108643411431528,0.15996215375382983,40.652083333333394,60.97812500000009,0.03,H1_CLOSE,0.5114999999999782,0.5114999999999782,0.0,106.85281874999981,107.3643187499998,105.85281874999984,106.36431874999982
BREADTH_Q80,2024-01-08 23:00:00,2024-01,US500,SHORT,-0.3687512681640842,0.3687512681640842,0.15996215375382983,9.019166666666669,13.528750000000002,0.15,H1_CLOSE,0.45300000000006546,0.37800000000006545,0.075,107.3643187499998,107.81731874999986,106.36431874999982,106.7423187499999
BREADTH_Q80,2024-01-09 16:00:00,2024-01,US100,SHORT,-0.21004820765459942,0.21004820765459942,0.15996215375382983,34.02708333333286,51.040624999999295,0.04,H1_CLOSE,-1.5740000000000873,-1.5740000000000873,0.0,107.81731874999986,106.24331874999977,106.7423187499999,105.16831874999981
BREADTH_Q80,2024-01-09 17:00:00,2024-01,US100,LONG,0.5210090801125784,0.5210090801125784,0.15996215375382983,35.07291666666606,52.60937499999909,0.04,H1_CLOSE,1.07,1.07,0.0,106.24331874999977,107.31331874999977,105.16831874999981,106.2383187499998
BREADTH_Q80,2024-01-09 18:00:00,2024-01,US100,LONG,0.6637397248317026,0.6637397248317026,0.15996215375382983,31.293749999999363,46.940624999999045,0.04,H1_CLOSE,3.88,3.8260000000000005,0.054000000000000006,107.31331874999977,111.19331874999976,106.2383187499998,110.06431874999981
BREADTH_Q80,2024-01-09 19:00:00,2024-01,US30,LONG,0.42988494099216307,0.42988494099216307,0.15996215375382983,55.88750000000042,83.83125000000064,0.02,H1_CLOSE,-0.27,-0.294,0.024,111.19331874999976,110.92331874999977,110.06431874999981,109.77031874999982
BREADTH_Q80,2024-01-09 21:00:00,2024-01,US100,LONG,0.3196623727486852,0.3196623727486852,0.15996215375382983,33.89166666666597,50.837499999998954,0.04,H1_CLOSE,-0.5499999999998545,-0.6039999999998544,0.054000000000000006,110.92331874999977,110.37331874999991,109.77031874999982,109.16631874999996
BREADTH_Q80,2024-01-10 17:00:00,2024-01,US100,SHORT,-0.3329935747672053,0.3329935747672053,0.15996215375382983,37.08124999999958,55.62187499999936,0.03,STOP,-1.6686562499999809,-1.6686562499999809,0.0,110.37331874999991,108.70466249999993,109.16631874999996,107.49766249999998
BREADTH_Q80,2024-01-10 18:00:00,2024-01,US100,LONG,0.2772252484036834,0.2772252484036834,0.15996215375382983,38.71666666666639,58.07499999999959,0.03,H1_CLOSE,-0.44400000000008727,-0.48600000000008725,0.042,108.70466249999993,108.26066249999984,107.49766249999998,107.01166249999989
BREADTH_Q80,2024-01-10 20:00:00,2024-01,US100,LONG,0.2207873038359916,0.2207873038359916,0.15996215375382983,35.462499999999785,53.19374999999968,0.04,H1_CLOSE,0.5480000000000291,0.5480000000000291,0.0,108.26066249999984,108.80866249999987,107.01166249999989,107.55966249999992
BREADTH_Q80,2024-01-10 23:00:00,2024-01,US100,SHORT,-0.2634332262691519,0.2634332262691519,0.15996215375382983,37.235416666666424,55.853124999999636,0.03,H1_CLOSE,-0.6180000000000655,-0.6600000000000654,0.042,108.80866249999987,108.1906624999998,107.55966249999992,106.89966249999985
BREADTH_Q80,2024-01-11 16:00:00,2024-01,US100,SHORT,-0.620309730727435,0.620309730727435,0.15996215375382983,39.28958333333291,58.93437499999936,0.03,STOP,-1.7680312499999808,-1.7680312499999808,0.0,108.1906624999998,106.42263124999982,106.89966249999985,105.13163124999987
BREADTH_Q80,2024-01-11 17:00:00,2024-01,US30,SHORT,-0.42463285565976716,0.42463285565976716,0.15996215375382983,67.63749999999952,101.45624999999927,0.02,H1_CLOSE,2.4880000000000293,2.4880000000000293,0.0,106.42263124999982,108.91063124999985,105.13163124999987,107.6196312499999
BREADTH_Q80,2024-01-11 18:00:00,2024-01,US30,SHORT,-0.6129347007933541,0.6129347007933541,0.15996215375382983,69.00833333333291,103.51249999999936,0.02,H1_CLOSE,1.0479999999998837,1.0299999999998837,0.018000000000000002,108.91063124999985,109.95863124999974,107.6196312499999,108.64963124999979
BREADTH_Q80,2024-01-11 19:00:00,2024-01,US100,LONG,0.4215122314000584,0.4215122314000584,0.15996215375382983,47.76249999999951,71.64374999999927,0.03,H1_CLOSE,1.882500000000109,1.849500000000109,0.033,109.95863124999974,111.84113124999985,108.64963124999979,110.49913124999989
BREADTH_Q80,2024-01-11 20:00:00,2024-01,US500,LONG,0.38166677834324336,0.38166677834324336,0.15996215375382983,10.458749999999972,15.688124999999957,0.14,H1_CLOSE,2.5340000000000513,2.464000000000051,0.07,111.84113124999985,114.3751312499999,110.49913124999989,112.96313124999995
BREADTH_Q80,2024-01-11 21:00:00,2024-01,US100,SHORT,-0.2635885945760525,0.2635885945760525,0.15996215375382983,51.92083333333297,77.88124999999945,0.02,H1_CLOSE,-0.8589999999999418,-0.8849999999999417,0.026000000000000002,114.3751312499999,113.51613124999996,112.96313124999995,112.07813125
BREADTH_Q80,2024-01-11 22:00:00,2024-01,US500,SHORT,-0.26352350578249445,0.26352350578249445,0.15996215375382983,11.148333333333312,16.722499999999968,0.13,H1_CLOSE,0.49400000000002364,0.42900000000002364,0.065,113.51613124999996,114.01013124999999,112.07813125,112.50713125000003
BREADTH_Q80,2024-01-12 11:00:00,2024-01,US100,SHORT,-0.17305847435267338,0.17305847435267338,0.15996215375382983,53.214583333333245,79.82187499999986,0.02,H1_CLOSE,0.671999999999971,0.6499999999999709,0.022000000000000002,114.01013124999999,114.68213124999996,112.50713125000003,113.15713125
BREADTH_Q80,2024-01-12 14:00:00,2024-01,US100,SHORT,-0.1741276487092865,0.1741276487092865,0.15996215375382983,55.143749999999876,82.71562499999982,0.02,H1_CLOSE,-0.30599999999998545,-0.3339999999999854,0.028000000000000004,114.68213124999996,114.37613124999997,113.15713125,112.82313125000002
BREADTH_Q80,2024-01-12 15:00:00,2024-01,US30,LONG,0.26049641738890855,0.26049641738890855,0.15996215375382983,90.83749999999964,136.25624999999945,0.01,H1_CLOSE,0.7460000000000582,0.7340000000000582,0.012,114.37613124999997,115.12213125000002,112.82313125000002,113.55713125000007
BREADTH_Q80,2024-01-12 18:00:00,2024-01,US100,LONG,0.47465703871805187,0.47465703871805187,0.15996215375382983,53.40624999999985,80.10937499999977,0.02,H1_CLOSE,-0.3189999999999418,-0.3449999999999418,0.026000000000000002,115.12213125000002,114.80313125000008,113.55713125000007,113.21213125000013
BREADTH_Q80,2024-01-12 19:00:00,2024-01,US100,LONG,0.2188862602866985,0.2188862602866985,0.15996215375382983,50.71458333333309,76.07187499999964,0.03,H1_CLOSE,0.848999999999869,0.806999999999869,0.042,114.80313125000008,115.65213124999995,113.21213125000013,114.01913125
BREADTH_Q80,2024-01-12 20:00:00,2024-01,US500,LONG,0.234037183503007,0.234037183503007,0.15996215375382983,11.547916666666689,17.321875000000034,0.13,H1_CLOSE,0.9750000000000001,0.91,0.065,115.65213124999995,116.62713124999995,114.01913125,114.92913125
BREADTH_Q80,2024-01-15 15:00:00,2024-01,US100,LONG,0.2267208233772095,0.2267208233772095,0.15996215375382983,36.85208333333321,55.27812499999982,0.04,H1_CLOSE,-0.1440000000000873,-0.20000000000008733,0.05600000000000001,116.62713124999995,116.48313124999986,114.92913125,114.72913124999991
BREADTH_Q80,2024-01-15 18:00:00,2024-01,US500,LONG,0.40914610697366516,0.40914610697366516,0.15996215375382983,7.34375,11.015625,0.21,H1_CLOSE,-0.6825,-0.7875,0.105,116.48313124999986,115.80063124999985,114.72913124999991,113.94163124999992
BREADTH_Q80,2024-01-15 19:00:00,2024-01,US500,LONG,0.2241907099915121,0.2241907099915121,0.15996215375382983,6.497916666666659,9.746874999999989,0.23,H1_CLOSE,0.06439999999994143,-0.05060000000005857,0.115,115.80063124999985,115.86503124999979,113.94163124999992,113.89103124999986
BREADTH_Q80,2024-01-16 03:00:00,2024-01,US100,SHORT,-0.35024120458119334,0.35024120458119334,0.15996215375382983,26.441666666666606,39.66249999999991,0.05,H1_CLOSE,-0.9900000000001455,-1.0600000000001455,0.07,115.86503124999979,114.87503124999964,113.89103124999986,112.83103124999971
BREADTH_Q80,2024-01-16 11:00:00,2024-01,US30,SHORT,-0.49145442955132795,0.49145442955132795,0.15996215375382983,44.01666666666703,66.02500000000055,0.03,H1_CLOSE,-0.1590000000000873,-0.1950000000000873,0.036,114.87503124999964,114.71603124999955,112.83103124999971,112.63603124999962
