time_epoch,time_utc,us100_open,us30_open,us500_open
1656637200,2022-07-01 01:00:00,11481.45,30762.25,3781.04
1656640800,2022-07-01 02:00:00,11471.85,30717.9,3776.86
1656644400,2022-07-01 03:00:00,11519.1,30810.9,3789.61
1656648000,2022-07-01 04:00:00,11501.85,30777.9,3785.24
1656651600,2022-07-01 05:00:00,11473.85,30717.9,3777.11
1656655200,2022-07-01 06:00:00,11427.85,30629.9,3764.36
1656658800,2022-07-01 07:00:00,11395.2,30559.9,3755.11
1656662400,2022-07-01 08:00:00,11378.1,30526.9,3751.11
1656666000,2022-07-01 09:00:00,11385.1,30560.55,3754.11
1656669600,2022-07-01 10:00:00,11408.55,30556.9,3756.36
1656673200,2022-07-01 11:00:00,11414.45,30582.9,3759.74
1656676800,2022-07-01 12:00:00,11463.2,30717.9,3776.36
1656680400,2022-07-01 13:00:00,11494.95,30802.9,3786.86
1656684000,2022-07-01 14:00:00,11441.95,30707.9,3773.61
1656687600,2022-07-01 15:00:00,11422.05,30669.9,3768.36
1656691200,2022-07-01 16:00:00,11471.2,30744.9,3780.86
1656694800,2022-07-01 17:00:00,11534.3,30906,3802.61
1656698400,2022-07-01 18:00:00,11436.35,30623.5,3769.11
1656702000,2022-07-01 19:00:00,11429.35,30634.05,3769.61
1656705600,2022-07-01 20:00:00,11411.6,30697.05,3772.36
1656709200,2022-07-01 21:00:00,11498.9,30911.5,3798.11
1656712800,2022-07-01 22:00:00,11553.35,31038.05,3815.11
1656716400,2022-07-01 23:00:00,11583.1,31120.05,3827.86
1656896400,2022-07-04 01:00:00,11593.5,31094.25,3827.74
1656900000,2022-07-04 02:00:00,11579.65,31066.9,3822.81
1656903600,2022-07-04 03:00:00,11551.15,30980.9,3812.06
1656907200,2022-07-04 04:00:00,11514.75,30935.9,3804.06
1656910800,2022-07-04 05:00:00,11515.4,30947.9,3804.06
1656914400,2022-07-04 06:00:00,11510.15,30920.9,3801.31
1656918000,2022-07-04 07:00:00,11514.4,30949.9,3805.06
1656921600,2022-07-04 08:00:00,11505.15,30940.9,3803.31
1656925200,2022-07-04 09:00:00,11528.4,30983.9,3809.31
1656928800,2022-07-04 10:00:00,11538.75,30989.9,3810.46
1656932400,2022-07-04 11:00:00,11501.15,30928.9,3800.09
1656936000,2022-07-04 12:00:00,11512.65,30919.9,3800.71
1656939600,2022-07-04 13:00:00,11549.9,31040.3,3815.71
1656943200,2022-07-04 14:00:00,11549.9,31051.9,3816.21
1656946800,2022-07-04 15:00:00,11544.4,31060.9,3816.46
1656950400,2022-07-04 16:00:00,11544.9,31091.5,3818.46
1656954000,2022-07-04 17:00:00,11528.9,31027.05,3811.71
1656957600,2022-07-04 18:00:00,11525.9,30996.05,3810.21
1656961200,2022-07-04 19:00:00,11533.9,30993.05,3810.96
1656982800,2022-07-05 01:00:00,11539.8,31007.25,3814.44
1656986400,2022-07-05 02:00:00,11630.45,31112.9,3832.26
1656990000,2022-07-05 03:00:00,11673.95,31218.9,3846.26
1656993600,2022-07-05 04:00:00,11675.45,31218.9,3845.76
1656997200,2022-07-05 05:00:00,11674.45,31242.9,3848.01
1657000800,2022-07-05 06:00:00,11634.2,31186.9,3838.89
1657004400,2022-07-05 07:00:00,11631.45,31156.9,3835.51
1657008000,2022-07-05 08:00:00,11651.95,31203.9,3842.01
1657011600,2022-07-05 09:00:00,11652.95,31209.9,3842.76
1657015200,2022-07-05 10:00:00,11658.55,31214.9,3843.76
1657018800,2022-07-05 11:00:00,11609.8,31113.9,3829.76
