period,open_time,close_time,direction,feature,volume,planned_risk,stressed_net,stressed_r,us100_entry_open,us100_exit_open,us30_entry_open,us30_exit_open,us500_entry_open,us500_exit_open,signed_us100_total_log_return,signed_peer_common_log_return,signed_relative_log_return,identity_error,reference_us100_lot,reference_us30_ideal_lot,reference_us30_selected_lot,reference_us30_realized_weight,reference_us30_absolute_weight_error,reference_us500_ideal_lot,reference_us500_selected_lot,reference_us500_realized_weight,reference_us500_absolute_weight_error,minimum_feasible_step_index,minimum_feasible_us100_lot,minimum_staircase_capital,minimum_us30_selected_lot,minimum_us30_realized_weight,minimum_us30_absolute_weight_error,minimum_us500_selected_lot,minimum_us500_realized_weight,minimum_us500_absolute_weight_error
P1_2022H2_2023,2022-08-01 17:00:00,2022-08-01 21:00:00,BUY,2.2067927300000001,0.01,4,-0.60499999999999998,-0.15125,12972.700000000001,12915.07,32813.050000000003,32771.050000000003,4124.3400000000001,4112.1599999999999,-0.0044523027823507163,-0.0021191837504595788,-0.0023331190318911376,0,0.01,0.0019767592467021503,0.01,2.5293924934670504,2.0293924934670504,0.015727001168671834,0.02,0.63584912932542959,0.13584912932542959,5,0.050000000000000003,700,0.01,0.50587849869340995,0.0058784986934099503,0.080000000000000002,0.50867930346034362,0.0086793034603436237
P1_2022H2_2023,2022-08-02 17:00:00,2022-08-02 21:00:00,BUY,3.7351305099999998,0.01,4.0258000000000003,0.17499999999999999,0.043469620944905356,12894.549999999999,12914.299999999999,32524.599999999999,32550.049999999999,4098.0600000000004,4106.8100000000004,0.0015304830595060002,0.0014575295442595727,7.2953515246427505e-05,0,0.01,0.0019822764922550929,0.01,2.5223524667398243,2.0223524667398243,0.015732505136576817,0.02,0.63562667948862128,0.13562667948862128,5,0.050000000000000003,700,0.01,0.50447049334796479,0.0044704933479647879,0.080000000000000002,0.50850134359089694,0.008501343590896937
P1_2022H2_2023,2022-08-03 17:00:00,2022-08-03 21:00:00,BUY,4.3063942600000003,0.01,4.0254000000000003,1.4520000000000073,0.3607094947086022,13098,13251.27,32641.049999999999,32847.050000000003,4127.1099999999997,4158.1599999999999,0.011633850099745846,0.0068932523231072466,0.0047405977766385998,0,0.01,0.0020063692803999871,0.01,2.4920636738433353,1.9920636738433353,0.015868246787703745,0.02,0.63018934188425713,0.13018934188425713,5,0.050000000000000003,700,0.01,0.49841273476866693,0.0015872652313330682,0.080000000000000002,0.50415147350740563,0.0041514735074056341
P1_2022H2_2023,2022-08-04 17:00:00,2022-08-04 21:00:00,BUY,0.71724860999999995,0.01,4.0747999999999998,-0.105,-0.025768135859428686,13287.700000000001,13280.950000000001,32773.050000000003,32743.049999999999,4155.5100000000002,4152.5100000000002,-0.00050811766086939609,-0.00081899962953335833,0.00031088196866396224,0,0.01,0.0020272296902485425,0.01,2.4664200726988121,1.9664200726988121,0.015988049601613281,0.02,0.62546716135975378,0.12546716135975378,5,0.050000000000000003,700,0.01,0.49328401453976234,0.0067159854602376612,0.080000000000000002,0.50037372908780298,0.00037372908780297642
P1_2022H2_2023,2022-08-05 17:00:00,2022-08-05 21:00:00,SELL,-0.83112072000000004,0.01,4.0469999999999997,-0.125,-0.030887076847047199,13164.700000000001,13173.52,32649.049999999999,32743.049999999999,4131.8599999999997,4136.79,-0.00066974915766472804,-0.0020337114912475614,0.0013639623335828335,1.0842021724855044e-19,0.01,0.0020160923518448472,0.01,2.4800451206635925,1.9800451206635925,0.015930718853010513,0.02,0.62771806421718668,0.12771806421718668,5,0.050000000000000003,700,0.01,0.49600902413271847,0.0039909758672815321,0.080000000000000002,0.50217445137374939,0.0021744513737493865
P1_2022H2_2023,2022-08-09 17:00:00,2022-08-09 21:00:00,SELL,-3.9199902400000002,0.01,4.0667999999999997,-0.26500000000000001,-0.065161797973836935,12984.200000000001,13006.950000000001,32795.050000000003,32800.5,4121.8199999999997,4123.3199999999997,-0.0017505963229750808,-0.00026501025897513315,-0.0014855860639999476,0,0.01,0.0019795975307249111,0.01,2.5257659309006333,2.0257659309006333,0.015750566497324002,0.02,0.63489779886323361,0.13489779886323361,5,0.050000000000000003,700,0.01,0.50515318618012661,0.0051531861801266121,0.080000000000000002,0.50791823909058698,0.0079182390905869759
P1_2022H2_2023,2022-08-10 17:00:00,2022-08-10 21:00:00,SELL,-1.53001816,0.01,4.0366999999999997,-0.56500000000000006,-0.13996581365967253,13299.9,13354.1,33284.050000000003,33282.050000000003,4193.2700000000004,4205.5200000000004,-0.0040669373981807901,-0.0014284991439410422,-0.0026384382542397481,0,0.01,0.0019979389527416281,0.01,2.5025789667591489,2.0025789667591489,0.015858625845700369,0.02,0.63057165843352214,0.13057165843352214,5,0.050000000000000003,700,0.01,0.50051579335182972,0.00051579335182971864,0.080000000000000002,0.50445732674681765,0.004457326746817647
P1_2022H2_2023,2022-08-12 17:00:00,2022-08-12 21:00:00,BUY,1.1593550399999999,0.01,4.0042999999999997,0.76500000000000001,0.19104462702594713,13406.75,13486.35,33496,33637.050000000003,4235.0699999999997,4257.5699999999997,0.0059197513454967397,0.0047504137102388506,0.0011693376352578892,0,0.01,0.0020012464174826846,0.01,2.4984429485147408,1.9984429485147408,0.015828250772714502,0.02,0.63178175172953921,0.13178175172953921,5,0.050000000000000003,700,0.01,0.49968858970294805,0.00031141029705195056,0.080000000000000002,0.50542540138363123,0.0054254013836312343
P1_2022H2_2023,2022-08-15 17:00:00,2022-08-15 21:00:00,BUY,0.91098752999999999,0.01,4.0553999999999997,0.39499999999999996,0.09740099620259407,13602,13645.25,33775.050000000003,33927.050000000003,4278.6700000000001,4295.4200000000001,0.0031746349685853664,0.0041986961107601962,-0.0010240611421748298,0,0.01,0.0020136165601531307,0.01,2.4830943978826645,1.9830943978826645,0.015895126289244089,0.02,0.62912365828554628,0.12912365828554628,5,0.050000000000000003,700,0.01,0.49661887957653289,0.0033811204234671099,0.080000000000000002,0.503298926628437,0.0032989266284370045
P1_2022H2_2023,2022-08-16 17:00:00,2022-08-16 21:00:00,SELL,-3.92731567,0.01,4.2320000000000002,-0.90500000000000003,-0.21384688090737239,13595.65,13682.65,33984.5,34247.050000000003,4292.9700000000003,4318.9700000000003,-0.0063787182477014742,-0.0068670190494434773,0.00048830080174200319,0,0.01,0.0020002721829069136,0.01,2.4996598176622671,1.9996598176622671,0.015834783378407023,0.02,0.63152111153199741,0.13152111153199741,5,0.050000000000000003,700,0.01,0.49993196353245339,6.8036467546606083e-05,0.080000000000000002,0.50521688922559793,0.0052168892255979316
P1_2022H2_2023,2022-08-18 17:00:00,2022-08-18 21:00:00,SELL,-1.24911449,0.01,4.3601000000000001,-0.93500000000000005,-0.21444462282975163,13433.15,13522.9,33901.050000000003,33894.050000000003,4268.1199999999999,4277.6199999999999,-0.0066590121063189759,-0.0010084131509382453,-0.0056505989553807309,0,0.01,0.0019812291949659376,0.01,2.5236858071264003,2.0236858071264003,0.015736612372660563,0.02,0.63546078172282738,0.13546078172282738,5,0.050000000000000003,700,0.01,0.50473716142528002,0.0047371614252800232,0.080000000000000002,0.50836862537826188,0.0083686253782618847
P1_2022H2_2023,2022-08-19 17:00:00,2022-08-19 21:00:00,SELL,-3.34996304,0.01,4.3156999999999996,0.315,0.072989318071228312,13291.07,13256.450000000001,33752.050000000003,33778.050000000003,4238.9700000000003,4235.9700000000003,0.0026081547071158564,-3.1028694951509698e-05,0.0026391834020673662,0,0.01,0.001968927813273564,0.01,2.5394531817227661,2.0394531817227661,0.015677239989903207,0.02,0.63786738012816135,0.13786738012816135,5,0.050000000000000003,700,0.01,0.50789063634455323,0.0078906363445532257,0.080000000000000002,0.51029390410252906,0.010293904102529061
P1_2022H2_2023,2022-08-22 17:00:00,2022-08-22 21:00:00,SELL,-0.64760302999999997,0.01,4.3327999999999998,1.0050000000000001,0.23195162481536194,13012.4,12908.4,33313.050000000003,33074.5,4168.7200000000003,4140.4200000000001,0.0080244867493874314,0.0069992108335435758,0.0010252759158438556,0,0.01,0.0019530484299696363,0.01,2.5601003658049248,2.0601003658049248,0.015607188777370511,0.02,0.64073038025268214,0.14073038025268214,5,0.050000000000000003,700,0.01,0.51202007316098497,0.012020073160984968,0.080000000000000002,0.51258430420214574,0.012584304202145735
P1_2022H2_2023,2022-08-23 17:00:00,2022-08-23 21:00:00,BUY,2.33112063,0.01,4.2986000000000004,-0.31800000000001089,-0.073977574093893564,12933.049999999999,12905.200000000001,33053.5,32910.050000000003,4145.25,4130.8699999999999,-0.0021557195851270921,-0.0039122202252889196,0.0017565006401618274,0,0.01,0.0019563813211914017,0.01,2.5557389788178351,2.0557389788178351,0.015599843194017249,0.02,0.64103208446576798,0.14103208446576798,5,0.050000000000000003,700,0.01,0.51114779576356695,0.011147795763566948,0.080000000000000002,0.51282566757261439,0.012825667572614385
P1_2022H2_2023,2022-08-24 17:00:00,2022-08-24 21:00:00,BUY,0.68584239999999996,0.01,4.2359,0.32500000000000001,0.07672513515427655,12890.049999999999,12925.549999999999,32878.050000000003,32936.050000000003,4128.6199999999999,4136.6199999999999,0.0027502767610977376,0.0018491796312110581,0.00090109712988667955,0,0.01,0.0019602820118589754,0.01,2.5506534109642711,2.0506534109642711,0.015610603543072503,0.02,0.64059022269114552,0.14059022269114552,5,0.050000000000000003,700,0.01,0.51013068219285418,0.010130682192854179,0.080000000000000002,0.51247217815291635,0.012472178152916347
P1_2022H2_2023,2022-08-25 17:00:00,2022-08-25 21:00:00,BUY,1.06462298,0.01,4.2729999999999997,0.33499999999999996,0.078399251111631166,13030.870000000001,13068.120000000001,33057.5,33096.050000000003,4169.8199999999997,4173.3199999999997,0.0028545185306866902,0.0010022415824234221,0.0018522769482632682,0,0.01,0.0019709400287378056,0.01,2.5368605473003716,2.0368605473003716,0.01562521883438614,0.02,0.63999103666907886,0.13999103666907886,5,0.050000000000000003,700,0.01,0.50737210946007427,0.007372109460074272,0.080000000000000002,0.51199282933526302,0.011992829335263022
P1_2022H2_2023,2022-08-26 17:00:00,2022-08-26 21:00:00,SELL,-1.5372498000000001,0.01,4.2263999999999999,3.8320000000000074,0.90668180957789313,13122.5,12732.450000000001,33343.5,32577.049999999999,4197.3999999999996,4095.77,0.030174461333976232,0.023882675127193657,0.0062917862067825743,0,0.01,0.0019677748286772534,0.01,2.5409411316441228,2.0409411316441228,0.015631700576547388,0.02,0.63972566203086301,0.13972566203086301,5,0.050000000000000003,700,0.01,0.50818822632882454,0.0081882263288245438,0.080000000000000002,0.51178052962469034,0.011780529624690339
P1_2022H2_2023,2022-08-29 17:00:00,2022-08-29 21:00:00,BUY,1.8599343699999999,0.01,4.4474,0.38500000000000001,0.086567432657282908,12522.5,12563.27,32071.049999999999,32267.049999999999,4033.8200000000002,4056.3200000000002,0.0032504512236262856,0.0058275862441970003,-0.0025771350205707148,0,0.01,0.0019523058958156969,0.01,2.5610740666799763,2.0610740666799763,0.015521887441680591,0.02,0.64425154721501299,0.14425154721501299,5,0.050000000000000003,700,0.01,0.51221481333599528,0.012214813335995278,0.080000000000000002,0.51540123777201041,0.015401237772010412
