decision_epoch,decision_time,pair,valid,alpha,beta,r_squared,residual_mean,residual_std,residual_z
1704157200,2024-01-02T01:00:00,US100_US30,True,-1.1437316555247659,1.032294297345366,0.9146415954150849,0.0018905000392823168,0.0021664081562346583,-2.2501893915048607
1704157200,2024-01-02T01:00:00,US100_US500,True,-0.021694793175109695,1.1511848356849512,0.9851462797734741,0.001273146069875386,0.0010844073425398866,-0.5499950056682551
1704157200,2024-01-02T01:00:00,US30_US500,True,1.5919988737545836,1.05520820534839,0.9643685286563788,0.002319850289558889,0.0014690052946682343,2.7701107544788335
1704160800,2024-01-02T02:00:00,US100_US30,True,-1.1277398370333511,1.0307704906307864,0.9145985904294142,0.0019190866101910231,0.002215315941260918,-2.214088933294532
1704160800,2024-01-02T02:00:00,US100_US500,True,-0.019271343171503474,1.150897606113204,0.9850835191849617,0.0012680607546633655,0.001091910440580811,-1.1057113113038644
1704160800,2024-01-02T02:00:00,US30_US500,True,1.5807064309390277,1.0565477925112345,0.9644315288676748,0.002285894823130611,0.001506997493937302,2.402499599075203
1704164400,2024-01-02T03:00:00,US100_US30,True,-1.1115309600126313,1.0292260360624566,0.9145612658524678,0.0019419744744402594,0.0022667517524987404,-2.140382029715948
1704164400,2024-01-02T03:00:00,US100_US500,True,-0.01685771824691784,1.1506115613396677,0.9850192348533782,0.001262045750587637,0.0010976964095156577,-1.0041194913420277
1704164400,2024-01-02T03:00:00,US30_US500,True,1.5691269375349375,1.057921393754729,0.9645011894943297,0.0022559893178707067,0.0015489312414734995,2.361215677337736
1704168000,2024-01-02T04:00:00,US100_US30,True,-1.094655672793845,1.027618043028519,0.9145288387117844,0.001972304374899555,0.0023201220249456306,-2.2779090139495177
1704168000,2024-01-02T04:00:00,US100_US500,True,-0.014111861416084892,1.1502860454184731,0.9849526783166543,0.0012665681900591585,0.0011067251772153817,-1.4374343860002758
1704168000,2024-01-02T04:00:00,US30_US500,True,1.5571903129944236,1.0593373019731032,0.9645799502268165,0.002225609767126102,0.0015891278680643787,2.2610936412061866
