time_epoch,time,US100_ATR60,US30_ATR60,US100_LONG_actual_R,US100_LONG_extra_stress_R,US100_LONG_exit_offset,US100_LONG_exit_reason,US100_SHORT_actual_R,US100_SHORT_extra_stress_R,US100_SHORT_exit_offset,US100_SHORT_exit_reason,US30_LONG_actual_R,US30_LONG_extra_stress_R,US30_LONG_exit_offset,US30_LONG_exit_reason,US30_SHORT_actual_R,US30_SHORT_extra_stress_R,US30_SHORT_exit_offset,US30_SHORT_exit_reason
1704168000,2024-01-02T04:00:00,2.0374999999997576,3.426666666666885,0.3190183937549591,0.6871165633201599,14,TIME_15_M1,-1.0,0.6871165633201599,0,STOP_ADVERSE_FIRST,1.5,0.37937742471694946,3,TAKE,-1.0,0.3501945436000824,1,STOP_ADVERSE_FIRST
1704168900,2024-01-02T04:15:00,1.873333333332812,2.941666666666545,-1.0,0.7473309636116028,0,STOP_ADVERSE_FIRST,1.5,0.7473309636116028,9,TAKE,-1.0,0.40793201327323914,0,STOP_ADVERSE_FIRST,-1.0,0.40793201327323914,7,STOP_ADVERSE_FIRST
1704169800,2024-01-02T04:30:00,1.8649999999995392,2.668333333332824,-1.0,0.7506702542304993,0,STOP_ADVERSE_FIRST,-1.0,0.7506702542304993,0,STOP_ADVERSE_FIRST,-1.0,0.4497189223766327,0,STOP_ADVERSE_FIRST,-1.0,0.4497189223766327,9,STOP_ADVERSE_FIRST
1704170700,2024-01-02T04:45:00,1.7549999999996848,2.3833333333324846,-1.0,0.7977207899093628,0,STOP_ADVERSE_FIRST,-1.0,0.7977207899093628,1,STOP_ADVERSE_FIRST,-1.0,0.5454545617103577,7,STOP_ADVERSE_FIRST,-1.0,0.503496527671814,1,STOP_ADVERSE_FIRST
1704171600,2024-01-02T05:00:00,1.5858333333330543,1.9866666666660118,-1.0,0.8828166127204895,4,STOP_ADVERSE_FIRST,-1.0,0.8828166127204895,0,STOP_ADVERSE_FIRST,1.5,0.6040268540382385,3,TAKE,-1.0,0.6040268540382385,0,STOP_ADVERSE_FIRST
1704186000,2024-01-02T09:00:00,1.1091666666667153,1.649999999999515,-1.0,1.2622088193893433,0,STOP_ADVERSE_FIRST,-1.0,1.2622088193893433,0,STOP_ADVERSE_FIRST,-1.0,0.7272727489471436,0,STOP_ADVERSE_FIRST,-1.0,0.7272727489471436,0,STOP_ADVERSE_FIRST
1704186900,2024-01-02T09:15:00,1.3874999999998787,2.1166666666660605,-1.0,1.0090090036392212,0,STOP_ADVERSE_FIRST,-1.0,1.0090090036392212,0,STOP_ADVERSE_FIRST,-1.0,0.5669291615486145,0,STOP_ADVERSE_FIRST,-1.0,0.5669291615486145,2,STOP_ADVERSE_FIRST
1704187800,2024-01-02T09:30:00,1.6183333333331271,2.501666666666279,-1.0,0.8650875091552734,0,STOP_ADVERSE_FIRST,-1.0,0.8650875091552734,0,STOP_ADVERSE_FIRST,-1.0,0.47968021035194397,1,STOP_ADVERSE_FIRST,-1.0,0.47968021035194397,2,STOP_ADVERSE_FIRST
1704188700,2024-01-02T09:45:00,1.7041666666664848,2.4933333333329455,-1.0,0.8215159177780151,0,STOP_ADVERSE_FIRST,-1.0,0.8215159177780151,2,STOP_ADVERSE_FIRST,-1.0,0.48128342628479004,0,STOP_ADVERSE_FIRST,-1.0,0.48128342628479004,1,STOP_ADVERSE_FIRST
1704189600,2024-01-02T10:00:00,1.8033333333333454,2.816666666666424,-1.0,0.776340126991272,0,STOP_ADVERSE_FIRST,-1.0,0.776340126991272,0,STOP_ADVERSE_FIRST,1.5,0.42603549361228943,0,TAKE,-1.0,0.42603549361228943,0,STOP_ADVERSE_FIRST
