observer_id,run_code,trigger_time,resolve_time,trigger_bar_open,resolve_bar_open,breakout_side,latest_completed_close,prior_twenty_high,prior_twenty_low,entry_bid,entry_ask,exit_bid,exit_ask,entry_spread,exit_spread,continuation_observed_net,continuation_double_spread_net,reversion_observed_net,reversion_double_spread_net
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.07.03 01:00:09,2025.07.10 01:00:09,2025.07.03 00:00:00,2025.07.10 00:00:00,UPPER,6231.62000,6218.67000,5912.80000,6229.80000,6230.36000,6263.53000,6264.09000,0.56000,0.56000,0.33000000,0.32000000,-0.34000000,-0.35000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.07.18 01:00:09,2025.07.25 01:00:09,2025.07.18 00:00:00,2025.07.25 00:00:00,UPPER,6305.81000,6304.82000,5912.80000,6304.09000,6304.65000,6375.81000,6376.37000,0.56000,0.56000,0.71000000,0.70000000,-0.72000000,-0.73000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.07.28 01:00:09,2025.08.04 01:00:09,2025.07.28 00:00:00,2025.08.04 00:00:00,UPPER,6396.06000,6386.43000,6135.08000,6420.56000,6421.12000,6235.04000,6235.60000,0.56000,0.56000,-1.86000000,-1.87000000,1.85000000,1.84000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.08.13 01:00:09,2025.08.20 01:00:09,2025.08.13 00:00:00,2025.08.20 00:00:00,UPPER,6449.22000,6441.54000,6204.16000,6448.43000,6448.99000,6418.64000,6419.20000,0.56000,0.56000,-0.30000000,-0.31000000,0.29000000,0.28000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.08.29 01:00:09,2025.09.05 01:00:09,2025.08.29 00:00:00,2025.09.05 00:00:00,UPPER,6505.03000,6492.87000,6213.63000,6505.40000,6505.96000,6507.97000,6508.53000,0.56000,0.56000,0.02000000,0.01000000,-0.03000000,-0.04000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.09.12 01:00:08,2025.09.19 01:00:08,2025.09.12 00:00:00,2025.09.19 00:00:00,UPPER,6587.37000,6559.79000,6346.85000,6589.76000,6590.32000,6642.07000,6642.63000,0.56000,0.56000,0.52000000,0.51000000,-0.53000000,-0.54000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.09.19 01:00:08,2025.09.26 01:00:09,2025.09.19 00:00:00,2025.09.26 00:00:00,UPPER,6640.87000,6636.59000,6348.34000,6642.07000,6642.63000,6609.37000,6609.93000,0.56000,0.56000,-0.33000000,-0.34000000,0.32000000,0.31000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.10.02 01:00:08,2025.10.09 01:00:01,2025.10.02 00:00:00,2025.10.09 00:00:00,UPPER,6708.25000,6702.23000,6417.23000,6709.86000,6710.42000,6759.56000,6760.12000,0.56000,0.56000,0.49000000,0.48000000,-0.50000000,-0.51000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.10.09 01:00:01,2025.10.16 01:00:08,2025.10.09 00:00:00,2025.10.16 00:00:00,UPPER,6758.82000,6757.51000,6517.72000,6759.56000,6760.12000,6676.72000,6677.28000,0.56000,0.56000,-0.83000000,-0.85000000,0.82000000,0.81000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.10.27 01:54:19,2025.11.03 01:00:15,2025.10.27 00:00:00,2025.11.03 00:00:00,UPPER,6795.45000,6768.44000,6496.43000,6845.33000,6845.68000,6850.94000,6851.50000,0.35000,0.56000,0.05000000,0.04000000,-0.06000000,-0.07000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.11.19 01:00:15,2025.11.26 01:00:15,2025.11.19 00:00:00,2025.11.26 00:00:00,LOWER,6609.82000,6924.99000,6632.70000,6616.30000,6616.86000,6766.93000,6767.49000,0.56000,0.56000,-1.51000000,-1.52000000,1.50000000,1.49000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.12.11 01:00:01,2025.12.18 01:00:00,2025.12.11 00:00:00,2025.12.18 00:00:00,UPPER,6898.00000,6896.21000,6508.22000,6894.35000,6894.80000,6741.90000,6742.60000,0.45000,0.70000,-1.53000000,-1.54000000,1.52000000,1.51000000
