observer_id,run_code,trigger_time,resolve_time,trigger_bar_open,resolve_bar_open,breakout_side,latest_completed_close,prior_twenty_high,prior_twenty_low,entry_bid,entry_ask,exit_bid,exit_ask,entry_spread,exit_spread,continuation_observed_net,continuation_double_spread_net,reversion_observed_net,reversion_double_spread_net
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.01.22 01:00:11,2025.01.29 01:00:11,2025.01.22 00:00:00,2025.01.29 00:00:00,UPPER,6045.76000,6039.51000,5756.68000,6046.54000,6047.10000,6050.32000,6050.88000,0.56000,0.56000,0.03000000,0.02000000,-0.04000000,-0.05000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.02.18 01:00:12,2025.02.25 01:00:12,2025.02.18 00:00:00,2025.02.25 00:00:00,UPPER,6122.33000,6120.29000,5901.87000,6122.34000,6122.90000,5989.24000,5989.80000,0.56000,0.56000,-1.34000000,-1.35000000,1.33000000,1.31000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.02.28 01:00:08,2025.03.07 01:00:08,2025.02.28 00:00:00,2025.03.07 00:00:00,LOWER,5865.36000,6143.72000,5901.87000,5870.51000,5871.07000,5755.50000,5756.06000,0.56000,0.56000,1.14000000,1.13000000,-1.16000000,-1.17000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.03.11 00:00:00,2025.03.18 01:00:08,2025.03.11 00:00:00,2025.03.18 00:00:00,LOWER,5616.05000,6143.72000,5663.08000,5616.30000,5616.86000,5678.87000,5679.43000,0.56000,0.56000,-0.63000000,-0.64000000,0.62000000,0.61000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.04.04 01:00:09,2025.04.11 01:00:09,2025.04.04 00:00:00,2025.04.11 00:00:00,LOWER,5377.50000,5843.07000,5488.58000,5379.31000,5379.87000,5267.38000,5267.94000,0.56000,0.56000,1.11000000,1.10000000,-1.12000000,-1.14000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.05.05 01:00:09,2025.05.12 01:00:10,2025.05.05 00:00:00,2025.05.12 00:00:00,UPPER,5684.58000,5656.19000,4797.44000,5677.67000,5679.20000,5736.60000,5738.13000,1.53000,1.53000,0.57000000,0.54000000,-0.60000000,-0.64000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.05.13 01:00:10,2025.05.20 01:00:09,2025.05.13 00:00:00,2025.05.20 00:00:00,UPPER,5848.59000,5719.96000,5094.96000,5847.84000,5848.40000,5959.14000,5959.70000,0.56000,0.56000,1.11000000,1.10000000,-1.12000000,-1.13000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.05.20 01:00:09,2025.05.27 01:00:09,2025.05.20 00:00:00,2025.05.27 00:00:00,UPPER,5962.98000,5958.34000,5094.96000,5959.14000,5959.70000,5876.32000,5876.88000,0.56000,0.56000,-0.83000000,-0.85000000,0.82000000,0.81000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.06.11 01:00:09,2025.06.18 01:00:09,2025.06.11 00:00:00,2025.06.18 00:00:00,UPPER,6035.18000,6022.04000,5741.71000,6035.40000,6035.96000,5976.49000,5977.05000,0.56000,0.56000,-0.59000000,-0.61000000,0.58000000,0.57000000
ZETA-NEXT-US500-MONTHLY-RANGE-BREAK-RESPONSE-V1,1,2025.06.25 01:00:09,2025.07.02 01:00:09,2025.06.25 00:00:00,2025.07.02 00:00:00,UPPER,6092.95000,6070.04000,5842.23000,6092.44000,6093.00000,6202.74000,6203.30000,0.56000,0.56000,1.10000000,1.09000000,-1.11000000,-1.12000000
