time_epoch,time_utc,open,high,low,close,tick_volume,spread,real_volume
1733281200,2024-12-04 03:00:00,44832.26,44838.01,44820.26,44823.51,1134,160,0
1733283000,2024-12-04 03:30:00,44822.76,44832.26,44816.26,44829.26,1054,160,0
1733284800,2024-12-04 04:00:00,44829.26,44844.26,44829.26,44839.26,878,160,0
1733286600,2024-12-04 04:30:00,44839.01,44854.76,44838.26,44852.26,798,160,0
1733288400,2024-12-04 05:00:00,44852.26,44854.26,44837.26,44839.01,878,160,0
1733290200,2024-12-04 05:30:00,44839.01,44855.76,44836.26,44855.26,701,160,0
1733292000,2024-12-04 06:00:00,44855.26,44876.01,44853.76,44868.51,644,160,0
1733293800,2024-12-04 06:30:00,44869.01,44878.26,44868.26,44873.26,640,160,0
1733295600,2024-12-04 07:00:00,44873.26,44877.26,44863.51,44875.26,689,160,0
1733297400,2024-12-04 07:30:00,44875.26,44883.76,44874.51,44879.26,630,160,0
1733299200,2024-12-04 08:00:00,44879.26,44882.76,44860.76,44861.26,633,160,0
1733301000,2024-12-04 08:30:00,44861.26,44878.26,44853.26,44876.26,602,160,0
1733302800,2024-12-04 09:00:00,44876.01,44880.86,44846.36,44860.36,824,140,0
1733304600,2024-12-04 09:30:00,44861.11,44891.36,44858.36,44888.36,965,140,0
1733306400,2024-12-04 10:00:00,44888.86,44906.36,44865.36,44874.36,2099,140,0
1733308200,2024-12-04 10:30:00,44874.36,44900.61,44866.61,44897.36,1525,140,0
1733310000,2024-12-04 11:00:00,44892.36,44935.36,44880.86,44926.36,1796,140,0
1733311800,2024-12-04 11:30:00,44926.36,44938.36,44907.36,44930.36,1390,140,0
1733313600,2024-12-04 12:00:00,44931.36,44940.36,44924.36,44929.86,1357,140,0
1733315400,2024-12-04 12:30:00,44928.86,44955.86,44926.36,44948.36,1172,140,0
1733317200,2024-12-04 13:00:00,44948.36,44965.36,44926.36,44943.36,1305,140,0
1733319000,2024-12-04 13:30:00,44942.86,44967.36,44913.86,44945.36,1347,140,0
1733320800,2024-12-04 14:00:00,44945.36,44959.36,44925.36,44925.61,1262,140,0
1733322600,2024-12-04 14:30:00,44925.61,44932.36,44901.36,44910.36,1223,140,0
1733324400,2024-12-04 15:00:00,44910.36,44920.36,44898.61,44916.36,1258,140,0
1733326200,2024-12-04 15:30:00,44916.36,44957.36,44805.11,44925.86,3360,140,0
1733328000,2024-12-04 16:00:00,44925.86,44953.86,44907.36,44939.86,2462,140,0
1733329800,2024-12-04 16:30:00,44938.11,45051.86,44925.11,44986.36,12353,90,0
1733331600,2024-12-04 17:00:00,44976.61,44996.11,44844.61,44871.61,8728,90,0
1733333400,2024-12-04 17:30:00,44871.61,44919.61,44852.61,44905.61,6680,90,0
1733335200,2024-12-04 18:00:00,44906.61,44999.61,44889.61,44987.61,5244,90,0
1733337000,2024-12-04 18:30:00,44987.61,45007.61,44956.11,44975.61,4166,90,0
1733338800,2024-12-04 19:00:00,44975.11,44977.61,44919.11,44923.61,3660,90,0
1733340600,2024-12-04 19:30:00,44923.61,44937.61,44892.11,44933.61,3222,90,0
1733342400,2024-12-04 20:00:00,44933.61,44943.61,44893.11,44898.61,2967,90,0
1733344200,2024-12-04 20:30:00,44898.61,44945.86,44818.61,44904.11,4682,0,0
1733346000,2024-12-04 21:00:00,44904.86,44985.61,44888.61,44980.61,4414,90,0
1733347800,2024-12-04 21:30:00,44980.61,45020.36,44969.61,44992.61,3182,90,0
1733349600,2024-12-04 22:00:00,44992.11,45073.11,44983.61,45037.61,3568,90,0
1733351400,2024-12-04 22:30:00,45037.61,45106.11,45022.61,45038.11,4899,90,0
1733353200,2024-12-04 23:00:00,45037.61,45056.76,45027.26,45031.26,1353,90,0
1733355000,2024-12-04 23:30:00,45032.26,45037.51,45021.26,45031.76,612,160,0
1733360400,2024-12-05 01:00:00,45020.17,45046.92,45018.67,45032.42,658,160,0
1733362200,2024-12-05 01:30:00,45032.42,45041.17,45025.67,45028.92,755,160,0
1733364000,2024-12-05 02:00:00,45028.92,45030.42,45015.17,45019.42,930,160,0
1733365800,2024-12-05 02:30:00,45019.42,45030.42,45017.42,45021.17,653,160,0
1733367600,2024-12-05 03:00:00,45021.17,45036.92,45017.42,45036.92,911,160,0
1733369400,2024-12-05 03:30:00,45036.92,45049.17,45036.42,45043.42,909,160,0
1733371200,2024-12-05 04:00:00,45043.42,45052.17,45038.42,45050.42,643,160,0
1733373000,2024-12-05 04:30:00,45050.42,45057.67,45031.42,45033.42,740,160,0
1733374800,2024-12-05 05:00:00,45032.42,45041.42,45026.42,45034.42,556,160,0
1733376600,2024-12-05 05:30:00,45034.42,45039.67,45030.92,45035.92,560,160,0
1733378400,2024-12-05 06:00:00,45035.92,45035.92,45023.42,45026.42,562,160,0
1733380200,2024-12-05 06:30:00,45026.42,45030.17,45016.42,45025.42,621,160,0
1733382000,2024-12-05 07:00:00,45024.92,45037.42,45023.42,45031.92,581,160,0
1733383800,2024-12-05 07:30:00,45031.92,45048.17,45030.42,45048.17,732,160,0
