period,server_date,weekday,state,signal_count,birth_count,sub_three_signal,centered_signal_count,centered_birth_count,centered_sub_three_signal
P1_2022H2_2023,2022-08-25,Thursday,OTHER_WEEK,4,3,0,1.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-08-26,Friday,OTHER_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2022-08-29,Monday,OTHER_WEEK,1,1,1,-1.1971830985915495,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2022-08-30,Tuesday,OTHER_WEEK,4,3,0,1.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-08-31,Wednesday,OTHER_WEEK,3,2,0,0.8513513513513513,0.054054054054053946,-0.6351351351351351
P1_2022H2_2023,2022-09-01,Thursday,OTHER_WEEK,1,1,1,-1.2027027027027026,-1.108108108108108,0.3783783783783784
P1_2022H2_2023,2022-09-02,Friday,OTHER_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2022-09-05,Monday,OTHER_WEEK,1,1,1,-1.1971830985915495,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2022-09-06,Tuesday,OTHER_WEEK,1,1,1,-1.5616438356164384,-1.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-09-07,Wednesday,OTHER_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2022-09-08,Thursday,OTHER_WEEK,4,3,0,1.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-09-09,Friday,OTHER_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2022-09-12,Monday,STANDARD_EXPIRATION_WEEK,4,3,0,1.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2022-09-13,Tuesday,STANDARD_EXPIRATION_WEEK,4,4,0,1.4383561643835616,1.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-09-14,Wednesday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2022-09-15,Thursday,STANDARD_EXPIRATION_WEEK,0,0,1,-2.2027027027027026,-2.108108108108108,0.3783783783783784
P1_2022H2_2023,2022-09-16,Friday,STANDARD_EXPIRATION_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2022-09-19,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2022-09-20,Tuesday,OTHER_WEEK,3,3,0,0.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-09-21,Wednesday,OTHER_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2022-09-22,Thursday,OTHER_WEEK,1,1,1,-1.2027027027027026,-1.108108108108108,0.3783783783783784
P1_2022H2_2023,2022-09-23,Friday,OTHER_WEEK,4,4,0,1.7567567567567566,1.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2022-09-26,Monday,OTHER_WEEK,3,2,0,0.8028169014084505,0.014084507042253502,-0.6338028169014085
P1_2022H2_2023,2022-09-27,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-09-28,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2022-09-29,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2022-09-30,Friday,OTHER_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2022-10-03,Monday,OTHER_WEEK,3,3,0,0.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2022-10-04,Tuesday,OTHER_WEEK,4,4,0,1.4383561643835616,1.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-10-05,Wednesday,OTHER_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2022-10-06,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-10-07,Friday,OTHER_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2022-10-10,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2022-10-11,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-10-12,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2022-10-13,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-10-14,Friday,OTHER_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2022-10-17,Monday,STANDARD_EXPIRATION_WEEK,3,3,0,0.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2022-10-18,Tuesday,STANDARD_EXPIRATION_WEEK,3,2,0,0.4383561643835616,-0.3698630136986303,-0.4931506849315068
P1_2022H2_2023,2022-10-19,Wednesday,STANDARD_EXPIRATION_WEEK,1,0,1,-1.1486486486486487,-1.945945945945946,0.3648648648648649
P1_2022H2_2023,2022-10-20,Thursday,STANDARD_EXPIRATION_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-10-21,Friday,STANDARD_EXPIRATION_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2022-10-24,Monday,OTHER_WEEK,3,2,0,0.8028169014084505,0.014084507042253502,-0.6338028169014085
P1_2022H2_2023,2022-10-25,Tuesday,OTHER_WEEK,1,1,1,-1.5616438356164384,-1.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-10-26,Wednesday,OTHER_WEEK,3,3,0,0.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2022-10-27,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2022-10-28,Friday,OTHER_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2022-10-31,Monday,OTHER_WEEK,1,1,1,-1.1971830985915495,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2022-11-01,Tuesday,OTHER_WEEK,3,3,0,0.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-11-02,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2022-11-03,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-11-04,Friday,OTHER_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2022-11-07,Monday,OTHER_WEEK,3,3,0,0.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2022-11-08,Tuesday,OTHER_WEEK,4,3,0,1.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-11-09,Wednesday,OTHER_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2022-11-10,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-11-11,Friday,OTHER_WEEK,0,0,1,-2.2432432432432434,-2.0945945945945947,0.3918918918918919
P1_2022H2_2023,2022-11-14,Monday,STANDARD_EXPIRATION_WEEK,1,1,1,-1.1971830985915495,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2022-11-15,Tuesday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-11-16,Wednesday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2022-11-17,Thursday,STANDARD_EXPIRATION_WEEK,4,3,0,1.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-11-18,Friday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2022-11-21,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2022-11-22,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-11-23,Wednesday,OTHER_WEEK,3,3,0,0.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2022-11-24,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2022-11-25,Friday,OTHER_WEEK,2,1,1,-0.24324324324324342,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2022-11-28,Monday,OTHER_WEEK,4,3,0,1.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2022-11-29,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-11-30,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2022-12-01,Thursday,OTHER_WEEK,2,1,1,-0.20270270270270263,-1.108108108108108,0.3783783783783784
P1_2022H2_2023,2022-12-02,Friday,OTHER_WEEK,3,2,0,0.7567567567567566,-0.09459459459459474,-0.6081081081081081
P1_2022H2_2023,2022-12-05,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2022-12-06,Tuesday,OTHER_WEEK,1,1,1,-1.5616438356164384,-1.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-12-07,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2022-12-08,Thursday,OTHER_WEEK,0,0,1,-2.2027027027027026,-2.108108108108108,0.3783783783783784
P1_2022H2_2023,2022-12-09,Friday,OTHER_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2022-12-12,Monday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2022-12-13,Tuesday,STANDARD_EXPIRATION_WEEK,4,3,0,1.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-12-14,Wednesday,STANDARD_EXPIRATION_WEEK,0,0,1,-2.1486486486486487,-1.945945945945946,0.3648648648648649
P1_2022H2_2023,2022-12-15,Thursday,STANDARD_EXPIRATION_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-12-16,Friday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2022-12-19,Monday,OTHER_WEEK,3,3,0,0.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2022-12-20,Tuesday,OTHER_WEEK,3,3,0,0.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-12-21,Wednesday,OTHER_WEEK,3,3,0,0.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2022-12-22,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-12-23,Friday,OTHER_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2022-12-27,Tuesday,OTHER_WEEK,4,3,0,1.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-12-28,Wednesday,OTHER_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2022-12-29,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-12-30,Friday,OTHER_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2023-01-03,Tuesday,OTHER_WEEK,4,4,0,1.4383561643835616,1.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2023-01-04,Wednesday,OTHER_WEEK,3,3,0,0.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2023-01-05,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2023-01-06,Friday,OTHER_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2023-01-09,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2023-01-10,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-01-11,Wednesday,OTHER_WEEK,4,2,0,1.8513513513513513,0.054054054054053946,-0.6351351351351351
P1_2022H2_2023,2023-01-12,Thursday,OTHER_WEEK,5,5,0,2.7972972972972974,2.891891891891892,-0.6216216216216216
P1_2022H2_2023,2023-01-13,Friday,OTHER_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-01-16,Monday,STANDARD_EXPIRATION_WEEK,2,1,1,-0.19718309859154948,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2023-01-17,Tuesday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-01-18,Wednesday,STANDARD_EXPIRATION_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2023-01-19,Thursday,STANDARD_EXPIRATION_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2023-01-20,Friday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2023-01-23,Monday,OTHER_WEEK,4,3,0,1.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2023-01-24,Tuesday,OTHER_WEEK,3,3,0,0.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2023-01-25,Wednesday,OTHER_WEEK,3,3,0,0.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2023-01-26,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-01-27,Friday,OTHER_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-01-30,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2023-01-31,Tuesday,OTHER_WEEK,3,3,0,0.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2023-02-01,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2023-02-02,Thursday,OTHER_WEEK,1,1,1,-1.2027027027027026,-1.108108108108108,0.3783783783783784
P1_2022H2_2023,2023-02-03,Friday,OTHER_WEEK,4,3,0,1.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-02-06,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2023-02-07,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-02-08,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2023-02-09,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-02-10,Friday,OTHER_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2023-02-13,Monday,STANDARD_EXPIRATION_WEEK,3,3,0,0.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2023-02-14,Tuesday,STANDARD_EXPIRATION_WEEK,4,3,0,1.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2023-02-15,Wednesday,STANDARD_EXPIRATION_WEEK,3,3,0,0.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2023-02-16,Thursday,STANDARD_EXPIRATION_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2023-02-17,Friday,STANDARD_EXPIRATION_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2023-02-20,Monday,OTHER_WEEK,0,0,1,-2.1971830985915495,-1.9859154929577465,0.3661971830985915
P1_2022H2_2023,2023-02-21,Tuesday,OTHER_WEEK,5,5,0,2.4383561643835616,2.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2023-02-22,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2023-02-23,Thursday,OTHER_WEEK,1,1,1,-1.2027027027027026,-1.108108108108108,0.3783783783783784
P1_2022H2_2023,2023-02-24,Friday,OTHER_WEEK,4,3,0,1.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-02-27,Monday,OTHER_WEEK,1,1,1,-1.1971830985915495,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2023-02-28,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-03-01,Wednesday,OTHER_WEEK,4,3,0,1.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2023-03-02,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-03-03,Friday,OTHER_WEEK,5,4,0,2.7567567567567566,1.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-03-06,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2023-03-07,Tuesday,OTHER_WEEK,0,0,1,-2.5616438356164384,-2.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-03-08,Wednesday,OTHER_WEEK,0,0,1,-2.1486486486486487,-1.945945945945946,0.3648648648648649
P1_2022H2_2023,2023-03-09,Thursday,OTHER_WEEK,4,3,0,1.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2023-03-10,Friday,OTHER_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-03-13,Monday,STANDARD_EXPIRATION_WEEK,5,4,0,2.8028169014084505,2.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2023-03-14,Tuesday,STANDARD_EXPIRATION_WEEK,3,3,0,0.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2023-03-15,Wednesday,STANDARD_EXPIRATION_WEEK,4,3,0,1.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2023-03-16,Thursday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-03-17,Friday,STANDARD_EXPIRATION_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-03-20,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2023-03-21,Tuesday,OTHER_WEEK,4,3,0,1.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2023-03-22,Wednesday,OTHER_WEEK,4,2,0,1.8513513513513513,0.054054054054053946,-0.6351351351351351
P1_2022H2_2023,2023-03-23,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-03-24,Friday,OTHER_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-03-27,Monday,OTHER_WEEK,1,1,1,-1.1971830985915495,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2023-03-28,Tuesday,OTHER_WEEK,3,3,0,0.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2023-03-29,Wednesday,OTHER_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2023-03-30,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-03-31,Friday,OTHER_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2023-04-03,Monday,OTHER_WEEK,1,1,1,-1.1971830985915495,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2023-04-04,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-04-05,Wednesday,OTHER_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2023-04-06,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-04-07,Friday,OTHER_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2023-04-10,Monday,OTHER_WEEK,6,4,0,3.8028169014084505,2.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2023-04-11,Tuesday,OTHER_WEEK,2,1,1,-0.5616438356164384,-1.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-04-12,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2023-04-13,Thursday,OTHER_WEEK,1,1,1,-1.2027027027027026,-1.108108108108108,0.3783783783783784
P1_2022H2_2023,2023-04-14,Friday,OTHER_WEEK,4,4,0,1.7567567567567566,1.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2023-04-17,Monday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2023-04-18,Tuesday,STANDARD_EXPIRATION_WEEK,1,1,1,-1.5616438356164384,-1.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-04-19,Wednesday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2023-04-20,Thursday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-04-21,Friday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2023-04-24,Monday,OTHER_WEEK,4,3,0,1.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2023-04-25,Tuesday,OTHER_WEEK,1,1,1,-1.5616438356164384,-1.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-04-26,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
P1_2022H2_2023,2023-04-27,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2023-04-28,Friday,OTHER_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2023-05-01,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2023-05-02,Tuesday,OTHER_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2023-05-03,Wednesday,OTHER_WEEK,1,1,1,-1.1486486486486487,-0.945945945945946,0.3648648648648649
P1_2022H2_2023,2023-05-04,Thursday,OTHER_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2023-05-05,Friday,OTHER_WEEK,1,1,1,-1.2432432432432434,-1.0945945945945947,0.3918918918918919
P1_2022H2_2023,2023-05-08,Monday,OTHER_WEEK,3,3,0,0.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2023-05-09,Tuesday,OTHER_WEEK,1,1,1,-1.5616438356164384,-1.3698630136986303,0.5068493150684932
