period,server_date,weekday,state,signal_count,birth_count,sub_three_signal,centered_signal_count,centered_birth_count,centered_sub_three_signal
P1_2022H2_2023,2022-08-01,Monday,OTHER_WEEK,2,2,1,-0.19718309859154948,0.014084507042253502,0.3661971830985915
P1_2022H2_2023,2022-08-02,Tuesday,OTHER_WEEK,1,1,1,-1.5616438356164384,-1.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-08-03,Wednesday,OTHER_WEEK,3,3,0,0.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2022-08-04,Thursday,OTHER_WEEK,3,3,0,0.7972972972972974,0.8918918918918921,-0.6216216216216216
P1_2022H2_2023,2022-08-05,Friday,OTHER_WEEK,3,3,0,0.7567567567567566,0.9054054054054053,-0.6081081081081081
P1_2022H2_2023,2022-08-08,Monday,OTHER_WEEK,1,1,1,-1.1971830985915495,-0.9859154929577465,0.3661971830985915
P1_2022H2_2023,2022-08-09,Tuesday,OTHER_WEEK,3,3,0,0.4383561643835616,0.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-08-10,Wednesday,OTHER_WEEK,3,2,0,0.8513513513513513,0.054054054054053946,-0.6351351351351351
P1_2022H2_2023,2022-08-11,Thursday,OTHER_WEEK,0,0,1,-2.2027027027027026,-2.108108108108108,0.3783783783783784
P1_2022H2_2023,2022-08-12,Friday,OTHER_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2022-08-15,Monday,STANDARD_EXPIRATION_WEEK,4,3,0,1.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2022-08-16,Tuesday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.5616438356164384,-0.3698630136986303,0.5068493150684932
P1_2022H2_2023,2022-08-17,Wednesday,STANDARD_EXPIRATION_WEEK,4,3,0,1.8513513513513513,1.054054054054054,-0.6351351351351351
P1_2022H2_2023,2022-08-18,Thursday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.20270270270270263,-0.10810810810810789,0.3783783783783784
P1_2022H2_2023,2022-08-19,Friday,STANDARD_EXPIRATION_WEEK,2,2,1,-0.24324324324324342,-0.09459459459459474,0.3918918918918919
P1_2022H2_2023,2022-08-22,Monday,OTHER_WEEK,3,3,0,0.8028169014084505,1.0140845070422535,-0.6338028169014085
P1_2022H2_2023,2022-08-23,Tuesday,OTHER_WEEK,4,4,0,1.4383561643835616,1.6301369863013697,-0.4931506849315068
P1_2022H2_2023,2022-08-24,Wednesday,OTHER_WEEK,2,2,1,-0.14864864864864868,0.054054054054053946,0.3648648648648649
