record_id,period,component,book,birth_server,final_server,weekday,state,planned_risk_usd,actual_net_usd,stressed_net_usd,stressed_r,stop,centered_stressed_r,centered_stop,source_path,source_birth_row,source_final_row
L0001,P1_2022H2_2023,Cross,US100_BOOK,2022-08-01T17:00:00,2022-08-01T21:00:00,Monday,OTHER_WEEK,4.0,-0.59,-0.605,-0.15125,0,-0.15995377220802234,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,12,14
L0002,P1_2022H2_2023,Return,US30_BOOK,2022-08-01T16:00:00,2022-08-01T22:00:00,Monday,OTHER_WEEK,4.0,1.27,1.2490000000000145,0.31225000000000364,0,0.2402711329487352,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,7,15
L0003,P1_2022H2_2023,Cross,US100_BOOK,2022-08-02T17:00:00,2022-08-02T21:00:00,Tuesday,OTHER_WEEK,4.0258,0.19,0.175,0.043469620944905356,0,0.034765848736883015,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,20,22
L0004,P1_2022H2_2023,Passive,US100_BOOK,2022-08-03T14:05:16,2022-08-03T15:30:00,Wednesday,OTHER_WEEK,4.0328,-0.17,-0.185,-0.04587383455663559,0,-0.05252674865190108,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,34,35
L0005,P1_2022H2_2023,RC16,US30_BOOK,2022-08-03T13:30:00,2022-08-03T17:30:00,Wednesday,OTHER_WEEK,4.0328,0.86,0.8390000000000145,0.20804403888117798,0,0.1309317213608928,-0.025974025974025976,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,32,41
L0006,P1_2022H2_2023,Cross,US100_BOOK,2022-08-03T17:00:00,2022-08-03T21:00:00,Wednesday,OTHER_WEEK,4.0254,1.49,1.4520000000000073,0.3607094947086022,0,0.3520057225005799,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,39,42
L0007,P1_2022H2_2023,Passive,US100_BOOK,2022-08-04T13:01:44,2022-08-04T15:30:00,Thursday,OTHER_WEEK,4.117,0.05,0.035,0.008501335924216664,0,0.0018484218289511693,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,49,55
L0008,P1_2022H2_2023,RC16,US30_BOOK,2022-08-04T13:30:01,2022-08-04T17:30:00,Thursday,OTHER_WEEK,4.1076,-1.6600000000000001,-1.6809999999999856,-0.409241406173918,0,-0.4863537236942032,-0.025974025974025976,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,53,61
L0009,P1_2022H2_2023,Cross,US100_BOOK,2022-08-04T17:00:00,2022-08-04T21:00:00,Thursday,OTHER_WEEK,4.0748,-0.09,-0.105,-0.025768135859428686,0,-0.034471908067451026,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,59,62
L0010,P1_2022H2_2023,Passive,US100_BOOK,2022-08-05T15:45:06,2022-08-05T17:15:00,Friday,OTHER_WEEK,4.047,0.96,0.945,0.2335063009636768,0,0.2268533868684113,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,69,80
L0011,P1_2022H2_2023,Cross,US100_BOOK,2022-08-05T17:00:00,2022-08-05T21:00:00,Friday,OTHER_WEEK,4.047,-0.11,-0.125,-0.0308870768470472,0,-0.039590849055069544,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,78,81
L0012,P1_2022H2_2023,Return,US30_BOOK,2022-08-05T16:00:00,2022-08-05T22:00:00,Friday,OTHER_WEEK,4.0348,2.03,2.0090000000000146,0.49791811242193285,0,0.4259392453706644,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,73,82
L0013,P1_2022H2_2023,Cross,US100_BOOK,2022-08-08T17:00:00,2022-08-08T19:17:31,Monday,OTHER_WEEK,4.1601,-2.08,-2.095,-0.5035936636138555,1,-0.5122974358218778,0.993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,87,89
L0014,P1_2022H2_2023,Passive,US100_BOOK,2022-08-09T14:30:03,2022-08-09T16:30:00,Tuesday,OTHER_WEEK,4.0763,-0.06,-0.075,-0.018399038343595908,0,-0.0250519524388614,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,96,102
L0015,P1_2022H2_2023,Cross,US100_BOOK,2022-08-09T17:00:00,2022-08-09T21:00:00,Tuesday,OTHER_WEEK,4.0668,-0.25,-0.265,-0.06516179797383694,0,-0.07386557018185928,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,106,108
L0016,P1_2022H2_2023,Return,US30_BOOK,2022-08-09T16:00:00,2022-08-09T22:00:00,Tuesday,OTHER_WEEK,4.0763,-0.63,-0.6509999999999855,-0.15970365282240892,0,-0.23168251987367736,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,100,109
L0017,P1_2022H2_2023,Passive,US100_BOOK,2022-08-10T15:45:48,2022-08-10T18:45:00,Wednesday,OTHER_WEEK,4.0367,-0.23,-0.245,-0.06069314043649516,0,-0.06734605453176065,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,122,128
L0018,P1_2022H2_2023,Cross,US100_BOOK,2022-08-10T17:00:00,2022-08-10T21:00:00,Wednesday,OTHER_WEEK,4.0367,-0.55,-0.5650000000000001,-0.13996581365967253,0,-0.14866958586769488,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,126,129
L0019,P1_2022H2_2023,RC4,US30_BOOK,2022-08-12T13:00:00,2022-08-12T19:00:00,Friday,OTHER_WEEK,4.0043,0.35,0.3290000000000145,0.08216167619809069,0,-0.02130471890517366,-0.1509433962264151,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,135,143
L0020,P1_2022H2_2023,Cross,US100_BOOK,2022-08-12T17:00:00,2022-08-12T21:00:00,Friday,OTHER_WEEK,4.0043,0.78,0.765,0.19104462702594713,0,0.18234085481792478,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,140,144
L0021,P1_2022H2_2023,Passive,US100_BOOK,2022-08-15T12:34:25,2022-08-15T13:15:00,Monday,STANDARD_EXPIRATION_WEEK,4.048,0.2,0.185,0.045701581027667984,0,0.03904866693240249,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,151,152
L0022,P1_2022H2_2023,Cross,US100_BOOK,2022-08-15T17:00:00,2022-08-15T21:00:00,Monday,STANDARD_EXPIRATION_WEEK,4.0554,0.41,0.39499999999999996,0.09740099620259407,0,0.08869722399457172,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,167,169
L0023,P1_2022H2_2023,Return,US30_BOOK,2022-08-15T16:00:00,2022-08-15T22:00:00,Monday,STANDARD_EXPIRATION_WEEK,4.0554,4.04,4.019000000000014,0.9910243132613342,0,0.9190454462100658,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,162,170
L0024,P1_2022H2_2023,Cross,US100_BOOK,2022-08-16T17:00:00,2022-08-16T21:00:00,Tuesday,STANDARD_EXPIRATION_WEEK,4.232,-0.89,-0.905,-0.2138468809073724,0,-0.22255065311539474,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,180,182
L0025,P1_2022H2_2023,Return,US30_BOOK,2022-08-16T16:00:00,2022-08-16T22:00:00,Tuesday,STANDARD_EXPIRATION_WEEK,4.232,2.75,2.7290000000000147,0.644848771266544,0,0.5728699042152756,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,175,183
L0026,P1_2022H2_2023,Passive,US100_BOOK,2022-08-17T12:18:20,2022-08-17T16:15:00,Wednesday,STANDARD_EXPIRATION_WEEK,4.305,-0.64,-0.655,-0.15214866434378632,0,-0.15880157843905182,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,190,201
L0027,P1_2022H2_2023,Pressure,US30_BOOK,2022-08-17T15:00:00,2022-08-17T19:00:00,Wednesday,STANDARD_EXPIRATION_WEEK,4.2984,0.81,0.7890000000000146,0.18355667225014297,0,0.15504689945724373,-0.05714285714285714,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,194,205
L0028,P1_2022H2_2023,Return,US30_BOOK,2022-08-17T16:00:00,2022-08-17T22:00:00,Wednesday,STANDARD_EXPIRATION_WEEK,4.3048,1.34,1.3190000000000146,0.3064021557331385,0,0.23442328868187007,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,199,206
L0029,P1_2022H2_2023,Passive,US100_BOOK,2022-08-18T12:48:18,2022-08-18T15:45:00,Thursday,STANDARD_EXPIRATION_WEEK,4.3631,-0.06,-0.075,-0.01718961288991772,0,-0.023842526985183216,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,213,214
L0030,P1_2022H2_2023,Cross,US100_BOOK,2022-08-18T17:00:00,2022-08-18T21:00:00,Thursday,STANDARD_EXPIRATION_WEEK,4.3601,-0.92,-0.935,-0.21444462282975163,0,-0.22314839503777398,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,218,220
