record_id,period,component,book,birth_server,final_server,weekday,state,planned_risk_usd,actual_net_usd,stressed_net_usd,stressed_r,stop,centered_stressed_r,centered_stop,source_path,source_birth_row,source_final_row
L0031,P1_2022H2_2023,Passive,US100_BOOK,2022-08-19T12:58:22,2022-08-19T14:45:00,Friday,STANDARD_EXPIRATION_WEEK,4.3227,-0.16,-0.175,-0.04048395678626784,0,-0.04713687088153333,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,227,228
L0032,P1_2022H2_2023,Cross,US100_BOOK,2022-08-19T17:00:00,2022-08-19T21:00:00,Friday,STANDARD_EXPIRATION_WEEK,4.3157,0.33,0.315,0.07298931807122831,0,0.06428554586320596,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,232,234
L0033,P1_2022H2_2023,Passive,US100_BOOK,2022-08-22T12:30:54,2022-08-22T14:15:00,Monday,OTHER_WEEK,4.3283,0.16,0.14500000000000002,0.03350045052330015,0,0.026847536428034655,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,241,242
L0034,P1_2022H2_2023,Return,US30_BOOK,2022-08-22T16:00:00,2022-08-22T20:24:17,Monday,OTHER_WEEK,4.3341,-2.17,-2.190999999999985,-0.5055259454096548,1,-0.5775048124609232,0.9047619047619048,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,246,253
L0035,P1_2022H2_2023,Cross,US100_BOOK,2022-08-22T17:00:00,2022-08-22T21:00:00,Monday,OTHER_WEEK,4.3328,1.02,1.0050000000000001,0.23195162481536194,0,0.2232478526073396,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,251,254
L0036,P1_2022H2_2023,Passive,US100_BOOK,2022-08-23T12:15:26,2022-08-23T13:30:00,Tuesday,OTHER_WEEK,4.2866,0.3,0.285,0.06648625950636868,0,0.05983334541110318,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,261,262
L0037,P1_2022H2_2023,Passive,US100_BOOK,2022-08-23T16:01:11,2022-08-23T16:30:00,Tuesday,OTHER_WEEK,4.298,0.03,0.015,0.003489995346672871,0,-0.0031629187485926235,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,273,274
L0038,P1_2022H2_2023,Cross,US100_BOOK,2022-08-23T17:00:00,2022-08-23T21:00:00,Tuesday,OTHER_WEEK,4.2986,-0.3,-0.3180000000000109,-0.07397757409389356,0,-0.08268134630191591,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,278,280
L0039,P1_2022H2_2023,Return,US30_BOOK,2022-08-23T16:00:00,2022-08-23T22:00:00,Tuesday,OTHER_WEEK,4.298,-1.23,-1.2509999999999855,-0.29106561191251407,0,-0.3630444789637825,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,271,281
L0040,P1_2022H2_2023,RC16,US30_BOOK,2022-08-24T13:30:00,2022-08-24T17:30:00,Wednesday,OTHER_WEEK,4.2359,0.4,0.37900000000001455,0.0894733114568367,0,0.012360993936551504,-0.025974025974025976,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,286,293
L0041,P1_2022H2_2023,Cross,US100_BOOK,2022-08-24T17:00:00,2022-08-24T21:00:00,Wednesday,OTHER_WEEK,4.2359,0.34,0.325,0.07672513515427655,0,0.0680213629462542,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,291,294
L0042,P1_2022H2_2023,Passive,US100_BOOK,2022-08-25T14:02:21,2022-08-25T14:30:00,Thursday,OTHER_WEEK,4.264,0.24,0.22499999999999998,0.05276735459662288,0,0.046114440501357386,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,307,308
L0043,P1_2022H2_2023,Cross,US100_BOOK,2022-08-25T17:00:00,2022-08-25T21:00:00,Thursday,OTHER_WEEK,4.273,0.35,0.33499999999999996,0.07839925111163117,0,0.06969547890360882,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,317,319
L0044,P1_2022H2_2023,Return,US30_BOOK,2022-08-25T16:00:00,2022-08-25T22:00:00,Thursday,OTHER_WEEK,4.273,0.7,0.6790000000000145,0.15890475076059316,0,0.08692588370932472,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,312,320
L0045,P1_2022H2_2023,RC4,US30_BOOK,2022-08-26T13:00:00,2022-08-26T16:07:03,Friday,OTHER_WEEK,4.3136,-2.16,-2.1809999999999854,-0.5056101632047444,1,-0.6090765583080088,0.8490566037735849,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,325,333
L0046,P1_2022H2_2023,Passive,US100_BOOK,2022-08-26T16:00:43,2022-08-26T17:30:00,Friday,OTHER_WEEK,4.2928,1.71,1.695,0.3948471859858368,0,0.3881942718905713,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,332,339
L0047,P1_2022H2_2023,Cross,US100_BOOK,2022-08-26T17:00:00,2022-08-26T21:00:00,Friday,OTHER_WEEK,4.2264,3.87,3.8320000000000074,0.9066818095778931,0,0.8979780373698708,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,337,340
L0048,P1_2022H2_2023,Cross,US100_BOOK,2022-08-29T17:00:00,2022-08-29T21:00:00,Monday,OTHER_WEEK,4.4474,0.4,0.385,0.08656743265728291,0,0.07786366044926056,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,345,347
L0049,P1_2022H2_2023,Passive,US100_BOOK,2022-08-30T12:25:58,2022-08-30T14:15:00,Tuesday,OTHER_WEEK,4.4628,0.0,-0.015,-0.003361118580263512,0,-0.010014032675529007,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,354,355
L0050,P1_2022H2_2023,Return,US30_BOOK,2022-08-30T16:00:00,2022-08-30T17:07:02,Tuesday,OTHER_WEEK,4.4622,-2.23,-2.2509999999999852,-0.5044596835641578,1,-0.5764385506154263,0.9047619047619048,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,359,370
L0051,P1_2022H2_2023,Passive,US100_BOOK,2022-08-30T16:06:44,2022-08-30T17:34:53,Tuesday,OTHER_WEEK,4.4622,-2.23,-2.245,-0.5031150553538614,1,-0.5097679694491268,0.9906103286384976,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,366,371
L0052,P1_2022H2_2023,Passive,US100_BOOK,2022-08-31T15:15:05,2022-08-31T17:00:00,Wednesday,OTHER_WEEK,4.2824,-0.12,-0.15799999999999273,-0.03689519895385595,0,-0.04354811304912144,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,384,385
L0053,P1_2022H2_2023,Cross,US100_BOOK,2022-08-31T17:00:00,2022-08-31T21:00:00,Wednesday,OTHER_WEEK,4.2761,-1.44,-1.4549999999999998,-0.3402633240569678,0,-0.3489670962649901,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,389,391
L0054,P1_2022H2_2023,Passive,US100_BOOK,2022-09-01T14:45:51,2022-09-01T16:30:00,Thursday,OTHER_WEEK,4.2179,0.61,0.595,0.14106545911472532,0,0.13441254501945982,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,398,399
L0055,P1_2022H2_2023,RC16,US30_BOOK,2022-09-02T13:30:00,2022-09-02T17:30:00,Friday,OTHER_WEEK,4.2417,2.73,2.7090000000000147,0.638659028219821,0,0.5615467106995358,-0.025974025974025976,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,404,411
L0056,P1_2022H2_2023,Cross,US100_BOOK,2022-09-02T17:00:01,2022-09-02T21:00:00,Friday,OTHER_WEEK,4.2417,2.2,2.185,0.5151236532522339,0,0.5064198810442115,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,409,412
L0057,P1_2022H2_2023,RC16,US30_BOOK,2022-09-05T13:30:00,2022-09-05T17:30:00,Monday,OTHER_WEEK,4.4374,-0.15,-0.17099999999998544,-0.038536079686299504,0,-0.1156483972065847,-0.025974025974025976,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,417,421
L0058,P1_2022H2_2023,Cross,US100_BOOK,2022-09-06T17:00:00,2022-09-06T21:00:00,Tuesday,OTHER_WEEK,4.4306,0.37,0.355,0.08012458809190628,0,0.07142081588388394,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,426,428
L0059,P1_2022H2_2023,Return,US30_BOOK,2022-09-07T16:00:00,2022-09-07T22:00:00,Wednesday,OTHER_WEEK,4.4448,5.03,5.0090000000000146,1.1269348452123864,0,1.054955978161118,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,433,435
L0060,P1_2022H2_2023,RC4,US30_BOOK,2022-09-08T13:00:00,2022-09-08T16:30:42,Thursday,OTHER_WEEK,4.6452,-2.34,-2.360999999999985,-0.5082665977783486,1,-0.611732992881613,0.8490566037735849,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,440,453
L0061,P1_2022H2_2023,Passive,US100_BOOK,2022-09-08T16:04:52,2022-09-08T17:30:00,Thursday,OTHER_WEEK,4.6452,0.73,0.715,0.1539223284250409,0,0.1472694143297754,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,452,457
L0062,P1_2022H2_2023,Return,US30_BOOK,2022-09-08T16:00:00,2022-09-08T22:00:00,Thursday,OTHER_WEEK,4.6452,1.52,1.4990000000000145,0.3226986997330609,0,0.2507198326817925,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,450,458
L0063,P1_2022H2_2023,Cross,US100_BOOK,2022-09-09T17:00:00,2022-09-09T21:00:00,Friday,OTHER_WEEK,4.6393,0.83,0.815,0.17567305412454462,0,0.16696928191652227,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,463,465
L0064,P1_2022H2_2023,Passive,US100_BOOK,2022-09-12T12:19:25,2022-09-12T13:30:05,Monday,STANDARD_EXPIRATION_WEEK,4.6719,0.33,0.315,0.06742438836447698,0,0.060771474269211485,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,472,473
L0065,P1_2022H2_2023,Cross,US100_BOOK,2022-09-12T17:00:00,2022-09-12T21:00:00,Monday,STANDARD_EXPIRATION_WEEK,4.6845,0.04,0.025,0.005336748852598997,0,-0.0033670233554233455,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,488,490
L0066,P1_2022H2_2023,Return,US30_BOOK,2022-09-12T16:00:00,2022-09-12T22:00:00,Monday,STANDARD_EXPIRATION_WEEK,4.6845,1.24,1.2190000000000145,0.26021987405273017,0,0.18824100700146174,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,482,491
L0067,P1_2022H2_2023,Passive,US100_BOOK,2022-09-13T15:30:00,2022-09-13T15:45:00,Tuesday,STANDARD_EXPIRATION_WEEK,4.7304,3.93,3.915,0.8276255707762556,0,0.8209726566809902,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,503,504
L0068,P1_2022H2_2023,Return,US30_BOOK,2022-09-13T16:00:00,2022-09-13T17:32:22,Tuesday,STANDARD_EXPIRATION_WEEK,4.8908,-2.45,-2.471000000000022,-0.505234317494075,1,-0.5772131845453434,0.9047619047619048,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,508,516
L0069,P1_2022H2_2023,RC4,US30_BOOK,2022-09-13T13:00:00,2022-09-13T19:00:00,Tuesday,STANDARD_EXPIRATION_WEEK,4.7342,10.25,10.229000000000015,2.1606607240927747,0,2.0571943289895103,-0.1509433962264151,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,496,517
L0070,P1_2022H2_2023,Cross,US100_BOOK,2022-09-13T17:00:00,2022-09-13T21:00:00,Tuesday,STANDARD_EXPIRATION_WEEK,4.8908,0.96,0.945,0.1932199231209618,0,0.18451615091293946,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,514,518
L0071,P1_2022H2_2023,Pressure,US30_BOOK,2022-09-14T15:00:01,2022-09-14T19:00:00,Wednesday,STANDARD_EXPIRATION_WEEK,5.239,-1.43,-1.4509999999999854,-0.27696125214735356,0,-0.3054710249402528,-0.05714285714285714,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,523,530
L0072,P1_2022H2_2023,Return,US30_BOOK,2022-09-14T16:00:00,2022-09-14T22:00:00,Wednesday,STANDARD_EXPIRATION_WEEK,5.239,-1.5899999999999999,-1.6109999999999853,-0.3075014315709077,0,-0.37948029862217614,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,528,531
L0073,P1_2022H2_2023,RC4,US30_BOOK,2022-09-16T13:00:00,2022-09-16T19:00:00,Friday,STANDARD_EXPIRATION_WEEK,5.1165,-0.16,-0.18099999999998545,-0.03537574513827527,0,-0.13884214024153962,-0.1509433962264151,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,537,550
L0074,P1_2022H2_2023,Cross,US100_BOOK,2022-09-16T17:00:00,2022-09-16T21:00:00,Friday,STANDARD_EXPIRATION_WEEK,5.1165,-0.22,-0.24300000000001093,-0.04749340369393353,0,-0.05619717590195587,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,548,551
L0075,P1_2022H2_2023,Return,US30_BOOK,2022-09-16T16:00:00,2022-09-16T22:00:00,Friday,STANDARD_EXPIRATION_WEEK,5.1088,2.03,2.0090000000000146,0.3932430316316972,0,0.3212641645804288,-0.09523809523809523,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,542,552
L0076,P1_2022H2_2023,Pressure,US30_BOOK,2022-09-19T15:00:00,2022-09-19T17:11:12,Monday,OTHER_WEEK,5.1799,-2.59,-2.610999999999985,-0.5040637850151518,1,-0.532573557808051,0.9428571428571428,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,557,564
L0077,P1_2022H2_2023,Cross,US100_BOOK,2022-09-19T17:00:00,2022-09-19T21:00:00,Monday,OTHER_WEEK,5.1488,-0.01,-0.025,-0.004855500310752021,0,-0.013559272518774364,-0.006993006993006993,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,562,565
L0078,P1_2022H2_2023,Passive,US100_BOOK,2022-09-20T12:19:00,2022-09-20T16:15:00,Tuesday,OTHER_WEEK,5.0744,-0.36,-0.375,-0.07390036260444585,0,-0.08055327669971135,-0.009389671361502348,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,572,578
L0079,P1_2022H2_2023,Return,US30_BOOK,2022-09-20T16:00:00,2022-09-20T17:37:02,Tuesday,OTHER_WEEK,5.0744,-2.57,-2.590999999999985,-0.5106022386883149,1,-0.5825811057395833,0.9047619047619048,lab/artifacts/ea-files/passive-refusal-depth-observation-v1/valid-p1-2022h2-2023/observation/events-a.csv,576,584
