time_epoch,time,role,total_matured_observations,experts_at_256_maturity,current_valid_experts_with_score,current_positive_experts,selected_expert,selected_score_R,slot_available,accepted,rejection,settled_actual_balance_usd
1704173400,2024-01-02T05:30:00,ONLINE_HL96,943580,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704173400,2024-01-02T05:30:00,ONLINE_HL256,943580,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704179700,2024-01-02T07:15:00,ONLINE_HL32,943606,30,22,2,,,0,0,GLOBAL_SLOT_OCCUPIED,99.09017968749943
1704179700,2024-01-02T07:15:00,ONLINE_HL96,943606,30,22,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704179700,2024-01-02T07:15:00,ONLINE_HL256,943606,30,22,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704180600,2024-01-02T07:30:00,ONLINE_HL32,943628,30,30,2,,,0,0,GLOBAL_SLOT_OCCUPIED,99.09017968749943
1704180600,2024-01-02T07:30:00,ONLINE_HL96,943628,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704180600,2024-01-02T07:30:00,ONLINE_HL256,943628,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704182400,2024-01-02T08:00:00,ONLINE_HL32,943652,30,26,1,US100_H8_REVERSION,0.016994246405014127,1,1,,100.04167968749918
1704182400,2024-01-02T08:00:00,ONLINE_HL96,943652,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704182400,2024-01-02T08:00:00,ONLINE_HL256,943652,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704183300,2024-01-02T08:15:00,ONLINE_HL32,943678,30,28,1,,,0,0,GLOBAL_SLOT_OCCUPIED,100.04167968749918
1704183300,2024-01-02T08:15:00,ONLINE_HL96,943678,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704183300,2024-01-02T08:15:00,ONLINE_HL256,943678,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704184200,2024-01-02T08:30:00,ONLINE_HL32,943700,30,22,0,,,0,0,GLOBAL_SLOT_OCCUPIED,100.04167968749918
1704184200,2024-01-02T08:30:00,ONLINE_HL96,943700,30,22,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704184200,2024-01-02T08:30:00,ONLINE_HL256,943700,30,22,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704185100,2024-01-02T08:45:00,ONLINE_HL32,943730,30,20,0,,,0,0,GLOBAL_SLOT_OCCUPIED,100.04167968749918
1704185100,2024-01-02T08:45:00,ONLINE_HL96,943730,30,20,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704185100,2024-01-02T08:45:00,ONLINE_HL256,943730,30,20,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704186000,2024-01-02T09:00:00,ONLINE_HL32,943756,30,26,1,US100_H8_REVERSION,0.02775759691489823,1,1,,101.34517968749903
1704186000,2024-01-02T09:00:00,ONLINE_HL96,943756,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704186000,2024-01-02T09:00:00,ONLINE_HL256,943756,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704186900,2024-01-02T09:15:00,ONLINE_HL32,943784,30,30,1,,,0,0,GLOBAL_SLOT_OCCUPIED,101.34517968749903
1704186900,2024-01-02T09:15:00,ONLINE_HL96,943784,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704186900,2024-01-02T09:15:00,ONLINE_HL256,943784,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704187800,2024-01-02T09:30:00,ONLINE_HL32,943806,30,30,1,,,0,0,GLOBAL_SLOT_OCCUPIED,101.34517968749903
