row_type,attribution_included,server_time,target_component,target_component_id,logged_active_mask,reconstructed_active_mask,logged_reserved_mask,reconstructed_reserved_mask,logged_risk_before_usd,reconstructed_risk_before_usd,risk_abs_diff_usd,attempted_aggregate_after_usd,aggregate_cap_usd,reserved_occupants,occupant_risks_usd,pivotal_occupants,passive_reserved,passive_pending,passive_pivotal,target_context_mean_stressed_r,fractional_weight_per_occupant
AGGREGATE_RISK_BLOCK,1,2026.02.02 17:00:00,Cross,ZT-H1-US100-CROSS-IN-14b72317b7,10,10,10,10,10.203160000000059,10.203160000000059,0.0,15.299220000000087,15.288180000000086,Pressure|RC4,Pressure:5.096060000000|RC4:5.107100000000,Pressure|RC4,0,0,0,0.007155782876102954,0.5
AGGREGATE_RISK_BLOCK,1,2026.02.05 16:00:00,Return,ZT-H1-US30-RETURN-I-c870a788ec,33,33,33,33,11.684020000000036,11.684020000000036,0.0,17.440820000000034,17.2704,Passive|RC16,Passive:5.842000000000|RC16:5.842020000000,Passive|RC16,1,0,1,0.06345162908642199,0.5
AGGREGATE_RISK_BLOCK,1,2026.03.06 16:00:00,Return,ZT-H1-US30-RETURN-I-c870a788ec,8,8,40,40,12.243600000000129,12.243600000000129,0.0,18.303480000000192,18.179640000000187,Passive|Pressure,Passive:6.059880000000|Pressure:6.183720000000,Passive|Pressure,1,1,1,0.06345162908642199,0.5
AGGREGATE_RISK_BLOCK,1,2026.03.06 17:00:00,Cross,ZT-H1-US100-CROSS-IN-14b72317b7,40,40,40,40,12.243600000000129,12.243600000000129,0.0,18.303480000000192,18.179640000000187,Passive|Pressure,Passive:6.059880000000|Pressure:6.183720000000,Passive|Pressure,1,0,1,0.007155782876102954,0.5
AGGREGATE_RISK_BLOCK,1,2026.03.10 14:45:00,Passive,ZT-M15-US100-IMPULSE-EXTENSION--311868f4e8,3,3,3,3,12.823440000000131,12.823440000000131,0.0,19.14024000000013,18.9504,RC16|RC4,RC16:6.411720000000|RC4:6.411720000000,RC16|RC4,0,0,0,0.00918951091974254,0.5
AGGREGATE_RISK_BLOCK,1,2026.03.18 17:00:00,Cross,ZT-H1-US100-CROSS-IN-14b72317b7,50,50,50,50,18.199920000000215,18.199920000000215,0.0,24.266560000000286,18.199920000000215,Passive|RC4|Return,Passive:6.066640000000|RC4:6.066640000000|Return:6.066640000000,Passive|RC4|Return,1,0,1,0.007155782876102954,0.3333333333333333
AGGREGATE_RISK_BLOCK,1,2026.04.02 15:00:00,Pressure,ZT-M30-US30-INTRADAY-R-2eb111fc46,35,35,35,35,18.638520000000227,18.638520000000227,0.0,24.8513600000003,18.638520000000224,Passive|RC16|RC4,Passive:6.212840000000|RC16:6.212840000000|RC4:6.212840000000,Passive|RC16|RC4,1,0,1,0.16517299629636603,0.3333333333333333
AGGREGATE_RISK_BLOCK,1,2026.04.02 16:00:00,Return,ZT-H1-US30-RETURN-I-c870a788ec,35,35,35,35,18.638520000000227,18.638520000000227,0.0,24.8513600000003,18.638520000000224,Passive|RC16|RC4,Passive:6.212840000000|RC16:6.212840000000|RC4:6.212840000000,Passive|RC16|RC4,1,0,1,0.06345162908642199,0.3333333333333333
AGGREGATE_RISK_BLOCK,1,2026.04.17 17:00:00,Cross,ZT-H1-US100-CROSS-IN-14b72317b7,3,3,3,3,12.61840000000016,12.61840000000016,0.0,18.85216000000024,18.701280000000235,RC16|RC4,RC16:6.309200000000|RC4:6.309200000000,RC16|RC4,0,0,0,0.007155782876102954,0.5
AGGREGATE_RISK_BLOCK,1,2026.06.08 17:00:00,Cross,ZT-H1-US100-CROSS-IN-14b72317b7,41,41,41,41,21.878880000000382,21.878880000000382,0.0,29.17184000000051,21.878880000000382,Passive|Pressure|RC16,Passive:7.292960000000|Pressure:7.292960000000|RC16:7.292960000000,Passive|Pressure|RC16,1,0,1,0.007155782876102954,0.3333333333333333
