event_id,event_class,release_date_et,release_time_et,event_utc,event_server,symbol,offset_minutes,time_epoch,time_utc,time_server,open,high,low,close,tick_volume,spread,real_volume
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US30,0,1660134600,2022.08.10 12:30:00,2022.08.10 15:30:00,32846.900000000001,32850.400000000001,32842.400000000001,32845.400000000001,514,210,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US30,5,1660134900,2022.08.10 12:35:00,2022.08.10 15:35:00,32845.400000000001,32847.900000000001,32836.900000000001,32837.900000000001,523,210,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US30,10,1660135200,2022.08.10 12:40:00,2022.08.10 15:40:00,32837.900000000001,32845.400000000001,32835.900000000001,32841.400000000001,372,210,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US30,15,1660135500,2022.08.10 12:45:00,2022.08.10 15:45:00,32841.400000000001,32844.900000000001,32839.400000000001,32839.900000000001,384,210,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US100,0,1660134600,2022.08.10 12:30:00,2022.08.10 15:30:00,13062.950000000001,13063.450000000001,13058.700000000001,13061.700000000001,398,150,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US100,5,1660134900,2022.08.10 12:35:00,2022.08.10 15:35:00,13061.700000000001,13063.700000000001,13058.450000000001,13060.700000000001,364,150,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US100,10,1660135200,2022.08.10 12:40:00,2022.08.10 15:40:00,13060.700000000001,13063.200000000001,13056.950000000001,13059.950000000001,337,150,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US100,15,1660135500,2022.08.10 12:45:00,2022.08.10 15:45:00,13059.950000000001,13060.450000000001,13053.950000000001,13054.950000000001,375,150,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US500,0,1660134600,2022.08.10 12:30:00,2022.08.10 15:30:00,4134.7700000000004,4135.0200000000004,4134.0200000000004,4134.5200000000004,96,50,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US500,5,1660134900,2022.08.10 12:35:00,2022.08.10 15:35:00,4134.5200000000004,4134.7700000000004,4133.5200000000004,4133.7700000000004,84,50,0
CPI_20220810,CPI,2022-08-10,08:30:00,2022.08.10 12:30:00,2022.08.10 15:30:00,US500,10,1660135200,2022.08.10 12:40:00,2022.08.10 15:40:00,4133.7700000000004,4134.7700000000004,4133.5200000000004,4134.2700000000004,104,50,0
