role,source_line,server_time,stage,result,component_id,account_balance_usd,account_equity_usd,risk_capital_usd
LAST_OBSERVED_DECISION_BELOW_500,8114,2025.04.10 18:30:00,GATE,EXISTING_EXPOSURE,ZT-M30-US30-INTRADAY-R-2eb111fc46,448.75,524.21,422.898999999997
FIRST_OBSERVED_DECISION_AT_OR_ABOVE_500,8115,2025.04.11 13:00:00,SIGNAL,SIGNAL_NOT_MET,ZT-M30-US30-RANGE-COMP-64efb16616,558.56,558.56,532.5689999999969
