position_identifier,server_time,component_id,new_volume,neutral_path_volume,new_planned_risk_usd,neutral_path_planned_risk_usd,risk_capital_usd,aggregate_risk_before_usd,aggregate_cap_usd,headroom_after_new_usd,base_quantum_reserve_usd,reserve_binds,actual_delta_usd,stressed_delta_usd
2252,2026.01.14 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.07,0.06,41.636,35.688,743.5,0,133.83,92.194,29.74,0,-0.01,-0.032
2257,2026.01.15 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.07,0.06,41.705664,35.749248,744.744,47.663616,134.05392,44.68464,29.78976,0,3.52,3.498
2262,2026.01.16 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.05,0.04,31.54264,25.1232,788.566,0,141.94188,110.39924,31.54264,0,-0.95,-0.964
2268,2026.01.21 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.07,0.06,43.763552,37.39152,781.492,0,140.66856,96.905008,31.25968,0,9.07,9.048
2272,2026.01.22 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.05,0.04,33.75664,26.635712,843.916,0,151.90488,118.14824,33.75664,0,1.94,1.926
2278,2026.01.23 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.08,0.06,46.04832,40.79664,863.406,0,155.41308,109.36476,34.53624,0,-1.34,-1.368
2282,2026.01.26 13:30:00,ZT-M30-US30-RANGE-COMP-61f61deaba,0.1,0.08,57.263466667,54.198016,858.952,0,154.61136,97.347893333,34.35808,0,3.68,3.652
2286,2026.01.27 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.08,0.07,46.846933333,40.2556,878.38,0,158.1084,111.261466667,35.1352,0,-0.98,-0.994
2308,2026.02.04 13:30:00,ZT-M30-US30-RANGE-COMP-61f61deaba,0.11,0.1,62.957588571,65.7888,1001.598,0,180.28764,117.330051429,40.06392,0,2.25,2.236
2309,2026.02.04 17:00:00,ZT-H1-US100-CROSS-IN-14b72317b7,0.03,0.02,17.170251429,13.15776,1001.598,62.957588571,180.28764,100.1598,40.06392,0,2.58,2.554
2313,2026.02.05 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.09,0.08,53.170765714,46.368914286,1033.876,64.986491429,186.09768,67.940422857,41.35504,0,-3.44,-3.454
2340,2026.02.17 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.09,0.08,57.980262857,50.850377143,1127.394,0,202.93092,144.950657143,45.09576,0,1.77,1.748
2344,2026.02.18 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.09,0.08,58.291097143,51.052708571,1133.438,0,204.01884,145.727742857,45.33752,0,0.01,-0.004
2348,2026.02.20 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.09,0.08,58.405242857,51.154354286,1135.6575,0,204.41835,146.013107143,45.4263,0,2.04,2.026
2354,2026.02.24 13:30:00,ZT-M30-US30-RANGE-COMP-61f61deaba,0.13,0.11,74.973275,71.327331429,1153.435,0,207.6183,132.645025,46.1374,0,6.48,6.452
2358,2026.02.25 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.07,0.06,41.673275,34.96593,1190.665,0,214.3197,172.646425,47.6266,0,-1.76,-1.774
2366,2026.02.27 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.11,0.08,63.853295,52.004982857,1160.969,0,208.97442,145.121125,46.43876,0,-5.91,-5.952
2372,2026.03.03 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.25,0.22,161.855714286,140.244594286,1132.99,0,203.9382,42.082485714,45.3196,1,0.32,0.278
2378,2026.03.05 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.11,0.08,63.396025,51.884297143,1152.655,0,207.4779,144.081875,46.1062,0,-5.78,-5.846
2383,2026.03.06 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.09,0.08,57.187285714,50.242057143,1111.975,139.791142857,200.1555,3.177071429,44.479,1,2.06,2.038
2386,2026.03.09 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.29,0.26,170.946155,151.31623,1178.939,0,212.20902,41.262865,47.15756,1,6.18,6.084
2390,2026.03.10 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.07,0.06,43.573005,36.71673,1244.943,0,224.08974,180.516735,49.79772,0,-3.44,-3.542
2394,2026.03.10 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.11,0.1,65.006865,58.25415,1181.943,0,212.74974,147.742875,47.27772,0,2.18,2.166
2402,2026.03.13 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.29,0.26,175.178125,154.58287,1208.125,0,217.4625,42.284375,48.325,1,-7.42,-7.483
2406,2026.03.16 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.25,0.22,160.954,140.206,1126.678,0,202.80204,41.84804,45.06712,1,2.86,2.797
2413,2026.03.18 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.09,0.08,59.12856,51.909577143,1149.722,39.41904,206.94996,108.40236,45.98888,0,-3.53,-3.551
2418,2026.03.19 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,0.1,0.08,57.94495,52.491428571,1158.899,0,208.60182,150.65687,46.35596,0,0.61,0.568
2424,2026.03.23 15:00:20,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.25,0.22,162.008714286,141.226674286,1134.061,0,204.13098,42.122265714,45.36244,1,1.5,1.437
2434,2026.03.26 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.29,0.22,168.03383,144.162857143,1158.854,0,208.59372,40.55989,46.35416,1,-12.6,-12.747
2460,2026.04.03 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.07,0.06,40.77689,34.97091,1165.054,0,209.70972,168.93283,46.60216,0,-1.17,-1.426
2488,2026.04.16 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.07,0.06,41.69844,35.80359,1191.384,0,214.44912,172.75068,47.65536,0,-0.77,-0.791
2492,2026.04.17 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.07,0.06,41.358065,35.53557,1181.659,0,212.69862,171.340555,47.26636,0,9.15,9.129
2508,2026.04.27 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.08,0.07,49.158435556,42.818595556,1382.581,0,248.86458,199.706144444,55.30324,0,0.26,0.246
2520,2026.05.01 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.09,0.08,54.09162,47.87296,1502.545,0,270.4581,216.36648,60.1018,0,-1.3,-1.314
2526,2026.05.04 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.09,0.08,54.207036,48.0176,1505.751,0,271.03518,216.828144,60.23004,0,-3.09,-3.132
2530,2026.05.05 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.09,0.08,53.066844,47.10432,1474.079,0,265.33422,212.267376,58.96316,0,0.81,0.788
2536,2026.05.06 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.36,0.32,216.898992,192.433408,1506.243,0,271.12374,54.224748,60.24972,1,1.39,1.302
2558,2026.05.15 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,0.36,0.32,220.203792,195.213312,1529.193,0,275.25474,55.050948,61.16772,1,5.91,5.854
2562,2026.05.18 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.09,0.08,56.50614,50.225664,1569.615,0,282.5307,226.02456,62.7846,0,-3.15,-3.172
2576,2026.05.25 13:00:00,ZT-M30-US30-RANGE-COMP-64efb16616,0.1,0.09,61.455818182,55.411985455,1690.035,0,304.2063,242.750481818,67.6014,0,0.29,0.268
2577,2026.05.25 13:30:00,ZT-M30-US30-RANGE-COMP-61f61deaba,0.2,0.18,122.911636364,110.823970909,1690.035,61.455818182,304.2063,119.838845455,67.6014,0,0.83,0.802
2588,2026.05.29 13:30:00,ZT-M30-US30-RANGE-COMP-61f61deaba,0.2,0.18,124.429163636,112.119054545,1710.901,0,307.96218,183.533016364,68.43604,0,2.49,2.446
