"source_year","source_entry","Market_and_Exchange_Names","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","Open_Interest_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","FutOnly_or_Combined"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-07-12","209742","254260","53362","82432","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-07-19","124603","71277","17891","12336","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-07-19","209742","256388","54560","80168","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-07-26","124603","73288","17663","11632","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-07-26","209742","267158","51502","88292","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-08-02","124603","72619","16409","11520","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-08-02","209742","262325","52728","89224","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-08-09","124603","75394","19049","12762","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-08-09","209742","258784","45081","99398","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-08-16","124603","81037","23089","18182","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-08-16","209742","267796","44206","104853","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-08-23","124603","80779","23810","15544","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-08-23","209742","262158","50101","90339","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-08-30","124603","77430","24528","14135","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-08-30","209742","263641","50675","88760","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-09-06","124603","76726","21978","16201","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-09-06","209742","286754","61842","96694","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-09-13","124603","92577","18130","18266","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-09-13","209742","314969","53012","101049","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-09-20","124603","65490","15709","10916","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-09-20","209742","271815","46345","87205","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-09-27","124603","67055","17381","11761","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-09-27","209742","282054","51285","83312","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-10-04","124603","66652","16647","12008","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-10-04","209742","272171","50625","70637","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-10-11","124603","65931","17977","10275","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-10-11","209742","281284","57979","77822","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-10-18","124603","69235","17419","11473","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-10-18","209742","274388","58125","71437","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-10-25","124603","70719","13706","12259","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-10-25","209742","281590","59536","92800","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-11-01","124603","75815","15513","16625","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-11-01","209742","282466","59164","91130","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-11-08","124603","77750","17822","13951","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-11-08","209742","273054","55002","89105","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-11-15","124603","73833","16474","15800","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-11-15","209742","268428","50543","88483","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-11-22","124603","79266","17861","18619","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-11-22","209742","252712","48654","76002","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-11-29","124603","79083","17801","17868","FutOnly"
