position_identifier,entry_time_server,close_time_server,bar_time_server,held_bars,incumbent_direction,state,range_scale,raw_shadow_pass,seen_subthreshold_before,distinct_rearm_episode,limit_price,proxy_touch,proxy_touch_time,mark16_range
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 16:00:00,9,1,-0.78136742216431876,33.625,0,1,0,,,,
58,2026.01.22 12:21:10,2026.01.22 13:30:00,2026.01.22 12:30:00,1,-1,0.98165029668720916,34.25,0,0,0,,,,
58,2026.01.22 12:21:10,2026.01.22 13:30:00,2026.01.22 12:45:00,2,-1,0.63992699560059951,34.125,0,1,0,,,,
58,2026.01.22 12:21:10,2026.01.22 13:30:00,2026.01.22 13:00:00,3,-1,0.64736457104742362,34.125,0,1,0,,,,
58,2026.01.22 12:21:10,2026.01.22 13:30:00,2026.01.22 13:15:00,4,-1,0.470508486405812,33.5,0,1,0,,,,
77,2026.01.27 13:50:30,2026.01.27 15:30:00,2026.01.27 14:00:00,1,-1,0.94125672616846123,18.25,0,0,0,,,,
77,2026.01.27 13:50:30,2026.01.27 15:30:00,2026.01.27 14:15:00,2,-1,0.69155893041976835,18.25,0,1,0,,,,
77,2026.01.27 13:50:30,2026.01.27 15:30:00,2026.01.27 14:30:00,3,-1,0.26441417487771501,18.875,0,1,0,,,,
77,2026.01.27 13:50:30,2026.01.27 15:30:00,2026.01.27 14:45:00,4,-1,0.51758133232264258,19,0,1,0,,,,
77,2026.01.27 13:50:30,2026.01.27 15:30:00,2026.01.27 15:00:00,5,-1,0.58423096112830797,19,0,1,0,,,,
77,2026.01.27 13:50:30,2026.01.27 15:30:00,2026.01.27 15:15:00,6,-1,0.64347076685056837,19,0,1,0,,,,
87,2026.01.29 15:17:58,2026.01.29 15:45:00,2026.01.29 15:30:00,1,1,-0.66184897324788095,30.75,0,0,0,,,,
91,2026.01.30 14:21:52,2026.01.30 16:15:00,2026.01.30 14:30:00,1,-1,1.0807354339282658,47.375,1,0,0,,,,
91,2026.01.30 14:21:52,2026.01.30 16:15:00,2026.01.30 14:45:00,2,-1,0.96077415250308618,47.375,0,0,0,,,,
91,2026.01.30 14:21:52,2026.01.30 16:15:00,2026.01.30 15:00:00,3,-1,0.99065610133213966,47.375,0,1,0,,,,
91,2026.01.30 14:21:52,2026.01.30 16:15:00,2026.01.30 15:15:00,4,-1,0.94277422726389892,47.75,0,1,0,,,,
91,2026.01.30 14:21:52,2026.01.30 16:15:00,2026.01.30 15:30:00,5,-1,0.76651392217839254,47.75,0,1,0,,,,
91,2026.01.30 14:21:52,2026.01.30 16:15:00,2026.01.30 15:45:00,6,-1,0.45446019214488853,48.125,0,1,0,,,,
91,2026.01.30 14:21:52,2026.01.30 16:15:00,2026.01.30 16:00:00,7,-1,0.41278038840531667,48.375,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 12:30:00,1,-1,0.94800449042876911,56.875,0,0,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 12:45:00,2,-1,0.7191991176432857,56.875,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 13:00:00,3,-1,0.37369396556343454,56.875,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 13:15:00,4,-1,0.44246624199499018,56.75,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 13:30:00,5,-1,0.43633473004776607,56.75,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 13:45:00,6,-1,0.39396794940886143,56.75,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 14:00:00,7,-1,0.33016596047808333,56,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 14:15:00,8,-1,0.57104954028511834,56,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 14:30:00,9,-1,0.46645179693792843,56,0,1,0,,,,
95,2026.02.02 12:21:04,2026.02.02 15:00:00,2026.02.02 14:45:00,10,-1,0.49887576966415631,56,0,1,0,,,,
110,2026.02.05 14:30:03,2026.02.05 17:13:07,2026.02.05 14:45:00,1,1,-1.4640820234686969,58.375,1,0,0,,,,
110,2026.02.05 14:30:03,2026.02.05 17:13:07,2026.02.05 15:00:00,2,1,-1.3838547108565187,58.875,1,0,0,,,,
110,2026.02.05 14:30:03,2026.02.05 17:13:07,2026.02.05 15:15:00,3,1,-1.6266164225151205,59.375,1,0,0,,,,
110,2026.02.05 14:30:03,2026.02.05 17:13:07,2026.02.05 15:30:00,4,1,-1.7276197625550249,59.75,1,0,0,,,,
110,2026.02.05 14:30:03,2026.02.05 17:13:07,2026.02.05 15:45:00,5,1,-1.3025231351766355,59.75,1,0,0,,,,
110,2026.02.05 14:30:03,2026.02.05 17:13:07,2026.02.05 16:00:00,6,1,-1.5590640296849403,60.25,1,0,0,,,,
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 12:30:00,1,-1,0.72895126037653013,66.875,0,0,0,,,,
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 12:45:00,2,-1,1.0196865173778515,65.625,1,1,1,24689.459999999999,1,2026.02.06 12:45:00,-2.3518476190476214
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 13:00:00,3,-1,1.1752017329204481,65.200000000000728,1,1,0,,,,
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 13:15:00,4,-1,1.2527479642161305,65.200000000000728,1,1,0,,,,
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 13:30:00,5,-1,1.2934115012552241,65.200000000000728,1,1,0,,,,
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 13:45:00,6,-1,1.3609962221756569,65.200000000000728,1,1,0,,,,
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 14:00:00,7,-1,1.3376202278564997,65.200000000000728,1,1,0,,,,
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 14:15:00,8,-1,0.70967252609126374,65.200000000000728,0,1,0,,,,
115,2026.02.06 12:20:40,2026.02.06 14:45:00,2026.02.06 14:30:00,9,-1,0.35171780748455284,65.200000000000728,0,1,0,,,,
131,2026.02.11 15:18:38,2026.02.11 17:15:00,2026.02.11 15:30:00,1,-1,0.62494569555954282,26,0,0,0,,,,
131,2026.02.11 15:18:38,2026.02.11 17:15:00,2026.02.11 15:45:00,2,-1,2.0134553333808869,27.074999999998909,1,1,1,25279.439999999999,1,2026.02.11 15:45:00,1.6627885503232596
131,2026.02.11 15:18:38,2026.02.11 17:15:00,2026.02.11 16:00:00,3,-1,2.8439584182920772,27.074999999998909,1,1,0,,,,
144,2026.02.17 13:16:13,2026.02.17 14:00:00,2026.02.17 13:30:00,1,1,-0.81770092168099495,31.875,0,0,0,,,,
144,2026.02.17 13:16:13,2026.02.17 14:00:00,2026.02.17 13:45:00,2,1,-0.35622566214882634,32.125,0,1,0,,,,
146,2026.02.17 15:02:49,2026.02.17 15:45:00,2026.02.17 15:15:00,1,1,-1.3696501760507924,32.375,1,0,0,,,,
146,2026.02.17 15:02:49,2026.02.17 15:45:00,2026.02.17 15:30:00,2,1,-0.66193928748910169,32.375,0,0,0,,,,
156,2026.02.19 12:30:38,2026.02.19 14:45:00,2026.02.19 12:45:00,1,1,-1.8416097007665615,31.25,1,0,0,,,,
156,2026.02.19 12:30:38,2026.02.19 14:45:00,2026.02.19 13:00:00,2,1,-1.7633234651716909,31.75,1,0,0,,,,
156,2026.02.19 12:30:38,2026.02.19 14:45:00,2026.02.19 13:15:00,3,1,-1.7201152367675434,31.625,1,0,0,,,,
156,2026.02.19 12:30:38,2026.02.19 14:45:00,2026.02.19 13:30:00,4,1,-1.7841948638791627,32.125,1,0,0,,,,
156,2026.02.19 12:30:38,2026.02.19 14:45:00,2026.02.19 13:45:00,5,1,-1.5272451275247449,32.125,1,0,0,,,,
156,2026.02.19 12:30:38,2026.02.19 14:45:00,2026.02.19 14:00:00,6,1,-0.81820968418000595,32.125,0,0,0,,,,
156,2026.02.19 12:30:38,2026.02.19 14:45:00,2026.02.19 14:15:00,7,1,-1.1591919095304517,32.375,1,1,1,24791.099999999999,1,2026.02.19 14:15:00,1.6942084942085616
156,2026.02.19 12:30:38,2026.02.19 14:45:00,2026.02.19 14:30:00,8,1,-0.58640589589785541,32.5,0,1,0,,,,
158,2026.02.20 14:00:46,2026.02.20 16:45:00,2026.02.20 14:15:00,1,1,-1.715527274152729,31,1,0,0,,,,
158,2026.02.20 14:00:46,2026.02.20 16:45:00,2026.02.20 14:30:00,2,1,-2.4035619381138886,31,1,0,0,,,,
158,2026.02.20 14:00:46,2026.02.20 16:45:00,2026.02.20 14:45:00,3,1,-2.1796346906934447,31.5,1,0,0,,,,
158,2026.02.20 14:00:46,2026.02.20 16:45:00,2026.02.20 15:00:00,4,1,-1.5110041130106064,31.5,1,0,0,,,,
158,2026.02.20 14:00:46,2026.02.20 16:45:00,2026.02.20 15:15:00,5,1,-1.6481504303587498,31.5,1,0,0,,,,
158,2026.02.20 14:00:46,2026.02.20 16:45:00,2026.02.20 15:30:00,6,1,-1.0074774301874212,31,1,0,0,,,,
158,2026.02.20 14:00:46,2026.02.20 16:45:00,2026.02.20 15:45:00,7,1,-2.5386917367571051,31,1,0,0,,,,
158,2026.02.20 14:00:46,2026.02.20 16:45:00,2026.02.20 16:00:00,8,1,-1.6373629175672009,31.5,1,0,0,,,,
178,2026.02.27 14:01:23,2026.02.27 17:15:00,2026.02.27 14:15:00,1,1,-0.9767663249612667,30.625,0,0,0,,,,
178,2026.02.27 14:01:23,2026.02.27 17:15:00,2026.02.27 14:30:00,2,1,-0.97965902561358986,30.75,0,1,0,,,,
178,2026.02.27 14:01:23,2026.02.27 17:15:00,2026.02.27 14:45:00,3,1,-0.97061919526357532,30.75,0,1,0,,,,
178,2026.02.27 14:01:23,2026.02.27 17:15:00,2026.02.27 15:00:00,4,1,-1.014878338484273,30.75,1,1,1,24879.16,1,2026.02.27 15:00:00,1.8923577235771931
178,2026.02.27 14:01:23,2026.02.27 17:15:00,2026.02.27 15:15:00,5,1,-0.71470921184570357,31,0,1,0,,,,
178,2026.02.27 14:01:23,2026.02.27 17:15:00,2026.02.27 15:30:00,6,1,-1.2268204764975901,31.25,1,1,0,,,,
178,2026.02.27 14:01:23,2026.02.27 17:15:00,2026.02.27 15:45:00,7,1,-1.8183203744611229,31.875,1,1,0,,,,
178,2026.02.27 14:01:23,2026.02.27 17:15:00,2026.02.27 16:00:00,8,1,-1.2072577777476288,32.625,1,1,0,,,,
184,2026.03.02 13:25:23,2026.03.02 14:30:00,2026.03.02 13:30:00,1,-1,1.4468566672268983,45.25,1,0,0,,,,
184,2026.03.02 13:25:23,2026.03.02 14:30:00,2026.03.02 13:45:00,2,-1,1.102121720682508,45.25,1,0,0,,,,
184,2026.03.02 13:25:23,2026.03.02 14:30:00,2026.03.02 14:00:00,3,-1,1.0738195998013684,45.25,1,0,0,,,,
184,2026.03.02 13:25:23,2026.03.02 14:30:00,2026.03.02 14:15:00,4,-1,0.37879433333420331,45.25,0,0,0,,,,
188,2026.03.03 12:29:33,2026.03.03 14:00:00,2026.03.03 12:30:00,1,1,-1.9661809430065789,42.425000000001091,1,0,0,,,,
188,2026.03.03 12:29:33,2026.03.03 14:00:00,2026.03.03 12:45:00,2,1,-1.7211578794773417,43.125,1,0,0,,,,
188,2026.03.03 12:29:33,2026.03.03 14:00:00,2026.03.03 13:00:00,3,1,-1.6429710258574415,43.75,1,0,0,,,,
188,2026.03.03 12:29:33,2026.03.03 14:00:00,2026.03.03 13:15:00,4,1,-1.5312989083032593,43.875,1,0,0,,,,
188,2026.03.03 12:29:33,2026.03.03 14:00:00,2026.03.03 13:30:00,5,1,-1.0442786080102537,43.875,1,0,0,,,,
188,2026.03.03 12:29:33,2026.03.03 14:00:00,2026.03.03 13:45:00,6,1,-0.29125781041677024,44.125,0,0,0,,,,
194,2026.03.04 13:01:30,2026.03.04 14:30:00,2026.03.04 13:15:00,1,-1,1.4027444756429157,58.875,1,0,0,,,,
194,2026.03.04 13:01:30,2026.03.04 14:30:00,2026.03.04 13:30:00,2,-1,1.7347795570318361,57.875,1,0,0,,,,
194,2026.03.04 13:01:30,2026.03.04 14:30:00,2026.03.04 13:45:00,3,-1,1.1155055019335534,57.875,1,0,0,,,,
194,2026.03.04 13:01:30,2026.03.04 14:30:00,2026.03.04 14:00:00,4,-1,1.1780283178578721,57.25,1,0,0,,,,
194,2026.03.04 13:01:30,2026.03.04 14:30:00,2026.03.04 14:15:00,5,-1,0.99043437994952033,56.5,0,0,0,,,,
198,2026.03.05 13:30:45,2026.03.05 14:15:00,2026.03.05 13:45:00,1,-1,0.84135833826784878,39.875,0,0,0,,,,
198,2026.03.05 13:30:45,2026.03.05 14:15:00,2026.03.05 14:00:00,2,-1,0.31031385376992859,40.125,0,1,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 13:00:00,1,1,-1.277174657342921,42.125,1,0,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 13:15:00,2,1,-1.0826139711983715,42.125,1,0,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 13:30:00,3,1,-0.65169156087513402,42.5,0,0,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 13:45:00,4,1,-1.5655744608758424,42.5,1,1,1,24849.220000000001,1,2026.03.06 13:45:00,-0.55223529411767447
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 14:00:00,5,1,-1.5518383908081246,42.5,1,1,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 14:15:00,6,1,-1.0888779133343065,42.875,1,1,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 14:30:00,7,1,-0.72586540218736162,42.5,0,1,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 14:45:00,8,1,-0.5911288646045042,42.5,0,1,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 15:00:00,9,1,-0.59848015992135406,42.125,0,1,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 15:15:00,10,1,-0.69678529053625504,42.125,0,1,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 15:30:00,11,1,-0.76174340416311304,42.125,0,1,0,,,,
204,2026.03.06 12:45:34,2026.03.06 15:56:21,2026.03.06 15:45:00,12,1,-1.4835179196431458,41.875,1,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 13:00:00,1,-1,0.90955847956140201,58.75,0,0,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 13:15:00,2,-1,0.58861690871110861,59.125,0,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 13:30:00,3,-1,0.41464553138769056,60.5,0,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 13:45:00,4,-1,0.55331616989772026,60.5,0,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 14:00:00,5,-1,0.48225018021610572,60.5,0,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 14:15:00,6,-1,0.61783858492263244,60.5,0,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 14:30:00,7,-1,0.43731626442706933,59.125,0,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 14:45:00,8,-1,0.54175596430118833,59.125,0,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 15:00:00,9,-1,0.3620820480823963,59.125,0,1,0,,,,
210,2026.03.09 12:45:35,2026.03.09 15:30:00,2026.03.09 15:15:00,10,-1,0.47434401452224423,58.875,0,1,0,,,,
221,2026.03.10 15:17:01,2026.03.10 16:45:00,2026.03.10 15:30:00,1,1,-1.2347593085218806,47.875,1,0,0,,,,
221,2026.03.10 15:17:01,2026.03.10 16:45:00,2026.03.10 15:45:00,2,1,-1.0774185478703944,47.875,1,0,0,,,,
221,2026.03.10 15:17:01,2026.03.10 16:45:00,2026.03.10 16:00:00,3,1,-0.79071962070241963,47.875,0,0,0,,,,
227,2026.03.11 12:50:36,2026.03.11 13:30:00,2026.03.11 13:00:00,1,1,-1.2699512333650793,37.125,1,0,0,,,,
227,2026.03.11 12:50:36,2026.03.11 13:30:00,2026.03.11 13:15:00,2,1,-0.54662949124114646,37.125,0,0,0,,,,
231,2026.03.12 12:51:58,2026.03.12 14:00:00,2026.03.12 13:00:00,1,-1,1.026912626161407,43.625,1,0,0,,,,
231,2026.03.12 12:51:58,2026.03.12 14:00:00,2026.03.12 13:15:00,2,-1,0.80799583722623591,43.25,0,0,0,,,,
231,2026.03.12 12:51:58,2026.03.12 14:00:00,2026.03.12 13:30:00,3,-1,0.53022306870686309,42.25,0,1,0,,,,
231,2026.03.12 12:51:58,2026.03.12 14:00:00,2026.03.12 13:45:00,4,-1,0.60661935007918699,41.125,0,1,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 13:30:00,1,-1,1.2500964640673946,40.625,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 13:45:00,2,-1,1.1627553267177977,40.625,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 14:00:00,3,-1,1.6851480346028203,40.375,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 14:15:00,4,-1,2.0258959881780561,40.625,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 14:30:00,5,-1,2.0690546693922016,41.375,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 14:45:00,6,-1,1.7426964383309391,42.125,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 15:00:00,7,-1,1.4473644323265473,41.375,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 15:15:00,8,-1,1.1300790908489897,41.375,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 15:30:00,9,-1,1.1691932742425011,41.375,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 15:45:00,10,-1,1.2323148408258169,41.375,1,0,0,,,,
235,2026.03.13 13:19:48,2026.03.13 17:15:00,2026.03.13 16:00:00,11,-1,1.4377858848303133,41.375,1,0,0,,,,
241,2026.03.16 15:09:30,2026.03.16 17:45:00,2026.03.16 15:15:00,1,-1,1.2690163993362833,41.25,1,0,0,,,,
241,2026.03.16 15:09:30,2026.03.16 17:45:00,2026.03.16 15:30:00,2,-1,1.302245815838972,41.25,1,0,0,,,,
241,2026.03.16 15:09:30,2026.03.16 17:45:00,2026.03.16 15:45:00,3,-1,1.6501402252739241,40.75,1,0,0,,,,
241,2026.03.16 15:09:30,2026.03.16 17:45:00,2026.03.16 16:00:00,4,-1,1.4258899188950198,40.75,1,0,0,,,,
248,2026.03.17 14:38:45,2026.03.17 18:30:00,2026.03.17 14:45:00,1,-1,0.68912292244480666,31.25,0,0,0,,,,
248,2026.03.17 14:38:45,2026.03.17 18:30:00,2026.03.17 15:00:00,2,-1,0.56593313034353154,31,0,1,0,,,,
248,2026.03.17 14:38:45,2026.03.17 18:30:00,2026.03.17 15:15:00,3,-1,1.2307176599196847,31,1,1,1,24694.400000000001,1,2026.03.17 15:15:00,-2.6419354838708973
248,2026.03.17 14:38:45,2026.03.17 18:30:00,2026.03.17 15:30:00,4,-1,0.8182302017965345,31.25,0,1,0,,,,
248,2026.03.17 14:38:45,2026.03.17 18:30:00,2026.03.17 15:45:00,5,-1,0.97625425104763552,31.625,0,1,0,,,,
248,2026.03.17 14:38:45,2026.03.17 18:30:00,2026.03.17 16:00:00,6,-1,1.0614017945380168,31.625,1,1,0,,,,
253,2026.03.18 15:15:24,2026.03.18 19:00:00,2026.03.18 15:30:00,1,1,-2.1097223379413728,22,1,0,0,,,,
253,2026.03.18 15:15:24,2026.03.18 19:00:00,2026.03.18 15:45:00,2,1,-3.380616287655426,22,1,0,0,,,,
253,2026.03.18 15:15:24,2026.03.18 19:00:00,2026.03.18 16:00:00,3,1,-3.368233296487944,22,1,0,0,,,,
262,2026.03.20 13:20:13,2026.03.20 15:30:00,2026.03.20 13:30:00,1,1,-1.487813179272288,46.875,1,0,0,,,,
262,2026.03.20 13:20:13,2026.03.20 15:30:00,2026.03.20 13:45:00,2,1,-1.4090342357707344,46.625,1,0,0,,,,
262,2026.03.20 13:20:13,2026.03.20 15:30:00,2026.03.20 14:00:00,3,1,-1.4466112590344509,46.625,1,0,0,,,,
262,2026.03.20 13:20:13,2026.03.20 15:30:00,2026.03.20 14:15:00,4,1,-1.2782805959105528,46.375,1,0,0,,,,
262,2026.03.20 13:20:13,2026.03.20 15:30:00,2026.03.20 14:30:00,5,1,-0.88937104752884388,46.625,0,0,0,,,,
262,2026.03.20 13:20:13,2026.03.20 15:30:00,2026.03.20 14:45:00,6,1,-1.0125933784608865,46.625,1,1,1,24240.990000000002,1,2026.03.20 14:45:00,-2.9188203753351236
262,2026.03.20 13:20:13,2026.03.20 15:30:00,2026.03.20 15:00:00,7,1,-0.9070264213829029,46.375,0,1,0,,,,
262,2026.03.20 13:20:13,2026.03.20 15:30:00,2026.03.20 15:15:00,8,1,-0.5370389935460218,46.375,0,1,0,,,,
268,2026.03.23 14:15:06,2026.03.23 17:15:00,2026.03.23 14:30:00,1,-1,1.8244861611195025,53.25,1,0,0,,,,
268,2026.03.23 14:15:06,2026.03.23 17:15:00,2026.03.23 14:45:00,2,-1,1.7457159871713011,53.625,1,0,0,,,,
268,2026.03.23 14:15:06,2026.03.23 17:15:00,2026.03.23 15:00:00,3,-1,1.3286336842948041,53.625,1,0,0,,,,
268,2026.03.23 14:15:06,2026.03.23 17:15:00,2026.03.23 15:15:00,4,-1,1.3262271266361678,53.875,1,0,0,,,,
268,2026.03.23 14:15:06,2026.03.23 17:15:00,2026.03.23 15:30:00,5,-1,1.6255488087163736,53.875,1,0,0,,,,
268,2026.03.23 14:15:06,2026.03.23 17:15:00,2026.03.23 15:45:00,6,-1,1.9857614911751169,54,1,0,0,,,,
