position_identifier,entry_time_server,close_time_server,bar_time_server,held_bars,incumbent_direction,state,range_scale,raw_shadow_pass,seen_subthreshold_before,distinct_rearm_episode,limit_price,proxy_touch,proxy_touch_time,mark16_range
2,2026.01.02 12:15:45,2026.01.02 14:15:00,2026.01.02 12:30:00,1,-1,1.2883994805117427,17.75,1,0,0,,,,
2,2026.01.02 12:15:45,2026.01.02 14:15:00,2026.01.02 12:45:00,2,-1,1.3541992260759961,17.875,1,0,0,,,,
2,2026.01.02 12:15:45,2026.01.02 14:15:00,2026.01.02 13:00:00,3,-1,1.4984522205375337,17.875,1,0,0,,,,
2,2026.01.02 12:15:45,2026.01.02 14:15:00,2026.01.02 13:15:00,4,-1,0.69463159275042774,17.875,0,0,0,,,,
2,2026.01.02 12:15:45,2026.01.02 14:15:00,2026.01.02 13:30:00,5,-1,0.438544878902205,17.875,0,1,0,,,,
2,2026.01.02 12:15:45,2026.01.02 14:15:00,2026.01.02 13:45:00,6,-1,0.53945124642127984,18.25,0,1,0,,,,
2,2026.01.02 12:15:45,2026.01.02 14:15:00,2026.01.02 14:00:00,7,-1,0.27137028908183858,18.25,0,1,0,,,,
10,2026.01.06 12:22:18,2026.01.06 13:15:00,2026.01.06 12:30:00,1,1,-1.226143277831264,20.25,1,0,0,,,,
10,2026.01.06 12:22:18,2026.01.06 13:15:00,2026.01.06 12:45:00,2,1,-0.97746138510220726,19.875,0,0,0,,,,
10,2026.01.06 12:22:18,2026.01.06 13:15:00,2026.01.06 13:00:00,3,1,-0.96325379493894747,19.375,0,1,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 12:45:00,1,1,-1.385461310712778,21.375,1,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 13:00:00,2,1,-1.5280616396782096,21.375,1,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 13:15:00,3,1,-1.5088241607805213,21.375,1,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 13:30:00,4,1,-1.327890083734667,21.375,1,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 13:45:00,5,1,-1.3583319763311525,21.625,1,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 14:00:00,6,1,-1.4485863030659296,21.875,1,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 14:15:00,7,1,-1.5460330261478605,21.875,1,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 14:30:00,8,1,-1.147560400254966,22.125,1,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 14:45:00,9,1,-0.96240984442934718,22.375,0,0,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 15:00:00,10,1,-0.91994135035727809,22.375,0,1,0,,,,
32,2026.01.14 12:30:02,2026.01.14 15:30:00,2026.01.14 15:15:00,11,1,-0.8545476926021246,22.125,0,1,0,,,,
38,2026.01.15 13:02:13,2026.01.15 14:45:00,2026.01.15 13:15:00,1,-1,1.2229869742344845,29,1,0,0,,,,
38,2026.01.15 13:02:13,2026.01.15 14:45:00,2026.01.15 13:30:00,2,-1,1.1412105408060937,29,1,0,0,,,,
38,2026.01.15 13:02:13,2026.01.15 14:45:00,2026.01.15 13:45:00,3,-1,1.0448618402719652,28.75,1,0,0,,,,
38,2026.01.15 13:02:13,2026.01.15 14:45:00,2026.01.15 14:00:00,4,-1,1.0146517259273262,28.625,1,0,0,,,,
38,2026.01.15 13:02:13,2026.01.15 14:45:00,2026.01.15 14:15:00,5,-1,0.55550707606617944,28.5,0,0,0,,,,
38,2026.01.15 13:02:13,2026.01.15 14:45:00,2026.01.15 14:30:00,6,-1,0.32041453180868024,28.5,0,1,0,,,,
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 14:00:00,1,1,-1.797308808585502,33.25,1,0,0,,,,
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 14:15:00,2,1,-1.6671835385849643,33.75,1,0,0,,,,
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 14:30:00,3,1,-1.3710102622654488,33.75,1,0,0,,,,
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 14:45:00,4,1,-1.3559035789966412,33.75,1,0,0,,,,
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 15:00:00,5,1,-0.47160950496152754,33.75,0,0,0,,,,
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 15:15:00,6,1,-0.68329332325879777,33.75,0,1,0,,,,
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 15:30:00,7,1,-1.1410840941556841,33.75,1,1,1,24943.709999999999,1,2026.01.21 15:30:00,4.1197037037037294
52,2026.01.21 13:47:25,2026.01.21 16:15:00,2026.01.21 15:45:00,8,1,-1.4916864044594775,33.625,1,1,0,,,,
