window,period,server_time,component_id,symbol,direction,candidate_order_price,control_entry_price,control_exit_price,control_exit_time_server,control_exit_class,candidate_volume,control_volume,volume_ratio,candidate_attempted_risk_usd,control_planned_risk_usd,control_actual_net_usd,control_stressed_net_usd,actual_r,stressed_r,shadow_actual_usd,shadow_stressed_usd
selection,E1,2022.08.17 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,US30,1,33930.5,33930.5,34064.05,2022.08.17 22:00:00,NATIVE,0.02,0.01,2.0,6.069600000000015,4.3048,1.34,1.3190000000000146,0.311280431146627,0.3064021557331385,2.68,2.638000000000029
selection,E1,2022.09.13 17:00:00,ZT-H1-US100-CROSS-IN-14b72317b7,US100,-1,12314.5,12314.5,12218.45,2022.09.13 21:00:00,NATIVE,0.02,0.01,2.0,7.166399999999995,4.8908400000000105,0.96,0.945,0.19628530068454456,0.19321834286134854,1.92,1.89
selection,E1,2022.09.14 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,US30,1,31184.0,31184.0,31025.05,2022.09.14 22:00:00,NATIVE,0.02,0.01,2.0,7.894400000000023,5.238960000000011,-1.5899999999999999,-1.6109999999999853,-0.3034953502221808,-0.30750377937605594,-3.1799999999999997,-3.2219999999999707
selection,E1,2022.09.16 17:00:00,ZT-H1-US100-CROSS-IN-14b72317b7,US100,-1,11724.8,11724.8,11746.7,2022.09.16 21:00:00,NATIVE,0.02,0.01,2.0,7.739200000000031,5.116480000000012,-0.22,-0.24300000000001093,-0.0429983113390455,-0.04749358934267511,-0.44,-0.48600000000002186
selection,E1,2022.09.19 17:00:00,ZT-H1-US100-CROSS-IN-14b72317b7,US100,1,11844.1,11844.1,11843.6,2022.09.19 21:00:00,NATIVE,0.02,0.01,2.0,7.699733333333327,5.1488000000000005,-0.01,-0.025,-0.0019422001243008078,-0.00485550031075202,-0.02,-0.05
selection,E1,2022.09.23 16:00:00,ZT-H1-US30-RETURN-I-c870a788ec,US30,1,29681.5,29681.5,29436.05,2022.09.23 19:23:00,STOP,0.02,0.01,2.0,6.986666666666667,4.893880000000013,-2.45,-2.4709999999999854,-0.5006252707463187,-0.5049163444955698,-4.9,-4.941999999999971
selection,E1,2022.09.23 17:00:00,ZT-H1-US100-CROSS-IN-14b72317b7,US100,-1,11285.27,11285.27,11263.15,2022.09.23 21:00:00,NATIVE,0.02,0.01,2.0,6.986666666666667,4.900080000000013,0.22,0.20500000000000002,0.044897226167735914,0.041836051656299375,0.44,0.41000000000000003
selection,E1,2022.09.27 17:00:00,ZT-H1-US100-CROSS-IN-14b72317b7,US100,1,11432.97,11432.97,11191.45,2022.09.27 19:18:20,STOP,0.02,0.01,2.0,7.113066666666661,4.827000000000014,-2.42,-2.4879999999999924,-0.5013465920861804,-0.515434016987774,-4.84,-4.975999999999985
selection,E1,2022.10.03 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,US30,1,28983.0,28983.0,29334.05,2022.10.03 19:00:00,NATIVE,0.03,0.01,3.0,9.829600000000063,4.566280000000015,3.51,3.4890000000000145,0.768678223849608,0.7640792943052119,10.53,10.467000000000043
selection,E1,2022.10.04 15:00:00,ZT-M30-US30-INTRADAY-R-2eb111fc46,US30,1,29921.4,29921.4,30275.6,2022.10.04 19:00:00,NATIVE,0.03,0.01,3.0,10.55320000000007,4.849600000000017,3.54,3.5189999999999784,0.7299571098647286,0.7256268558231538,10.620000000000001,10.556999999999935
